intent,status,title,url,tfidf_score,tfidf_proposal,tfidf_alt,note,department
μη_οφειλη_ταπ_ακινητα,proposed,ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας,https://eservices.heraklion.gr/e-services/town-planning/e-tap.html,0.279,Βεβαίωση ακριβούς διεύθυνσης ακινήτων,Διαγραφή οφειλής,medium,
μη_οφειλη_ταπ_οικοπεδα,proposed,ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας,https://eservices.heraklion.gr/e-services/town-planning/e-tap.html,0.270,Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση,Διαγραφή οφειλής,medium,
οικοδομησιμοτητα,proposed,Χορήγηση Βεβαίωσης Χρήσης Γης,https://eservices.heraklion.gr/e-services/town-planning/certification-use-ground.html,0.229,Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες,Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018),"medium — Βεβαίωση Χρήσης Γης — συγγενές, όχι ταυτόσημο",
σημανση_οδοστρωματος,proposed,Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών,https://eservices.heraklion.gr/e-services/technical-services/topothetisipinakidon-simansis-kaurepton.html,0.450,Αίτηση για βλάβη στο οδόστρωμα,Καταγγελίες (Εμπόδια στο οδόστρωμα),medium,
ταπ_ηλεκτροδοτηση,proposed,ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας,https://eservices.heraklion.gr/e-services/town-planning/e-tap.html,0.400,Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ,Ηλεκτρονικές Πληρωμές Οφειλών,medium,
ταπ_μη_ηλεκτροδοτουμενα,proposed,ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας,https://eservices.heraklion.gr/e-services/town-planning/e-tap.html,0.322,Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ,Ηλεκτρονικές Πληρωμές Οφειλών,medium,
αγορα_οικογενειακου_ταφου,no_service,,,0.441,Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον,Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης,δεν υπάρχει υπηρεσία — κανένα κοιμητήριο στο KB,KOIMITIRIA
αδεια_κολυμβητικης_δεξαμενης,no_service,,,0.197,Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής,Έκδοση δημοτικής ενημερότητας,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,ADEIODOTISEIS
αδεια_μικρης_κλιμακας,no_service,,,0.215,Άδεια Πολιτικού Γάμου για Αλλοδαπούς,Χορήγηση άδειας τοποθέτησης ικριωμάτων,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,POLEODOMIA
αδεια_παιδοτοπου,no_service,,,0.273,Διόρθωση τόπου γέννησης,Άδεια Πολιτικού Γάμου για Αλλοδαπούς,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,ADEIODOTISEIS
αιτηση_γενικου_τεχνικου_περιεχομενου,no_service,,,0.279,Γενικό αίτημα καθαριότητας,Γενική αίτηση για θέματα Κ.Ο.Κ,δεν υπάρχει υπηρεσία — ερωτήσεις προόδου έργων — όχι υπηρεσία,TEXNIKI
αιτηση_εκταφης,no_service,,,0.297,Αίτηση επιστροφής πινακίδων,Αίτηση για Εργοθεραπεία,δεν υπάρχει υπηρεσία — κανένα κοιμητήριο στο KB,KOIMITIRIA
αιτηση_ταφης_σε_οικογενειακο_ταφο,no_service,,,0.498,Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον,Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης,δεν υπάρχει υπηρεσία — κανένα κοιμητήριο στο KB,KOIMITIRIA
αιτηση_χορηγησης_αντιγραφου_ηδη_χορηγηθεισας_βεβαιωσης,no_service,,,0.525,Χορήγηση Βεβαίωσης Χρήσης Γης,Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γάμου,δεν υπάρχει υπηρεσία — γενικό — εξαρτάται από τη βεβαίωση,KENTRO
αλλαγη_ιδιοκτησιας_ακινητου,no_service,,,0.437,Βεβαίωση υποβολής δήλωσης ιδιοκτησίας,Υποβολή δήλωσης ιδιοκτησίας σε πολεοδομική μελέτη,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,TAP
αλλαγη_στοιχειων_λογαριασμου_υδρευσης,no_service,,,0.385,Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ,Αλλαγή διεύθυνσης,δεν υπάρχει υπηρεσία — ΔΕΥΑΗ: μόνο βλάβη και εξόφληση στο KB,DEYAH
αναγγελια_κομμωτη,no_service,,,0.409,Καταγγελία για άλλα θέματα,Καταγγελία δολιοφθορών,δεν υπάρχει υπηρεσία — καμία αναγγελία επαγγέλματος στο KB,ADEIODOTISEIS
αναγγελια_τεχνιτη_ακρων,no_service,,,0.309,Καταγγελία για άλλα θέματα,Καταγγελία δολιοφθορών,δεν υπάρχει υπηρεσία — καμία αναγγελία επαγγέλματος στο KB,ADEIODOTISEIS
απαλλαγη_δημοτικων_τελων_covid,no_service,,,0.338,Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής,Αλλαγή διεύθυνσης,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,PROSODOI
βεβαιωση_αρτιοτητας,no_service,,,0.379,Βεβαίωση Υψομέτρου,Χορήγηση Βεβαίωσης Χρήσης Γης,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,POLEODOMIA
βεβαιωση_εγκαταστασης_καταστηματος,no_service,,,0.320,Αδειοδότηση Αθλητικών Εγκαταστάσεων,Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,ADEIODOTISEIS
βεβαιωση_ορων_δομησης,no_service,,,0.362,Χορήγηση Βεβαίωσης Χρήσης Γης,Βεβαίωση Υψομέτρου,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,POLEODOMIA
δελτια_τυπου,no_service,,,0.147,Διόρθωση τόπου γέννησης,Άδεια Πολιτικού Γάμου για Αλλοδαπούς,"δεν υπάρχει υπηρεσία — ενημερωτικό, όχι υπηρεσία",KENTRO
διακοπη_παροχης_υδατος,no_service,,,0.310,Χορήγηση άδειας διακοπής κυκλοφορίας,Αίτηση - ΥΔ για παροχή δωρεάν φαρμακευτικής περίθαλψης σε ανασφάλιστου,δεν υπάρχει υπηρεσία — ΔΕΥΑΗ: μόνο βλάβη και εξόφληση,DEYAH
εγγραφη_σημειου_υδροληψιας,no_service,,,0.222,"Εγγραφή Αλλοδαπών που αποκτούν την Ελληνική Ιθαγένεια με πολιτογράφηση και τέκνων λόγω γέννησης - φοίτησης, φοίτησης",Διαγραφή οφειλής,δεν υπάρχει υπηρεσία — ΔΕΥΑΗ,DEYAH
ελεγχος_λογαριασμου_υδρευσης,no_service,,,0.425,Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ,Έλεγχος επικινδυνότητας κατασκευών,δεν υπάρχει υπηρεσία — ΔΕΥΑΗ: μόνο βλάβη και εξόφληση,DEYAH
ενοικιαση_οστεοφυλακιου,no_service,,,0.182,Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου,Μεταδημότευση λόγω διετούς κατοικίας,δεν υπάρχει υπηρεσία — κανένα κοιμητήριο στο KB,KOIMITIRIA
ενοικιαση_ταφου,no_service,,,0.151,Μεταδημότευση λόγω διετούς κατοικίας,Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου,δεν υπάρχει υπηρεσία — κανένα κοιμητήριο στο KB,KOIMITIRIA
επεκταση_δικτυου_υδρευσης,no_service,,,0.422,Βλάβες του δικτύου δημοτικού φωτισμού,Βλάβες αρδευτικών δικτύων,δεν υπάρχει υπηρεσία — ΔΕΥΑΗ,DEYAH
επικαιροποιηση_στοιχειων_υδροληψιας,no_service,,,0.322,Αντίγραφα στοιχείων αδειών δόμησης (μετά το έτος 2018),Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018),δεν υπάρχει υπηρεσία — ΔΕΥΑΗ,DEYAH
επικοινωνια,no_service,,,0.381,Αίτηση για Κοινωνική Εργασία,Αίτηση για Κοινωνική Εργασία κατ'οίκον,"δεν υπάρχει υπηρεσία — να απαντά με τηλέφωνο, όχι σύνδεσμο",KENTRO
θεωρηση_γραμμων,no_service,,,0.160,Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου,Χορήγηση αναθεώρησης - ενιαίας άδειας ίδρυσης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,POLEODOMIA
ληξιαρχειο,no_service,,,0.370,Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γάμου,Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Θανάτου,δεν υπάρχει υπηρεσία — να απαντά με τηλέφωνο/ωράριο,LIXIARXEIO
μειωση_τελων_λογω_αναπηριας,no_service,,,0.193,Μεταδημότευση λόγω διετούς κατοικίας,Μεταδημότευση λόγω αρχικής δημοτικότητας,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,KOINONIKA
μειωση_τιμολογιου,no_service,,,0.119,"Βεβαίωση πληρωμών (προσκύρωσης, εισφοράς σχεδίου πόλης, προστίμου αυθαίρετης κατασκευής)",Άνοιγμα μερίδας δημότη – λόγω διαζυγίου (με διαζύγιο που έχει καταχωρηθεί στην ληξιαρχική πράξη γάμου μέχρι το έτος 2017),δεν υπάρχει υπηρεσία — ΔΕΥΑΗ,DEYAH
μεταφορα_οστων,no_service,,,0.410,"Μετακίνηση, μεταφορά και τοποθέτηση κάδων απορριμάτων και ανακύκλωσης",Έγκριση από ΣΥ.ΠΟ.Θ.Α. ( για διαφορά ειδικού προστίμου >20% δήλωσης υπαγωγής),δεν υπάρχει υπηρεσία — κανένα κοιμητήριο στο KB,KOIMITIRIA
μητρωο_αρρενων,no_service,,,0.256,Απομάκρυνση εγκαταλελειμμένων ογκωδών αντικειμένων από κοινόχρηστους χώρους,Απομάκρυνση Εγκαταλελειμμένων Οχημάτων,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,MITROO
νεα_παροχη_υδρευσης,no_service,,,0.320,Αίτηση - ΥΔ για παροχή δωρεάν φαρμακευτικής περίθαλψης σε ανασφάλιστου,Χορήγηση άδειας διέλευσης και στάθμευσης οχήματος σε πεζόδρομους,δεν υπάρχει υπηρεσία — ΔΕΥΑΗ,DEYAH
νεαανακοινωσεις,no_service,,,0.227,Παραχώρηση χώρων του Δήμου για εκδηλώσεις,Κατασχέσεις,"δεν υπάρχει υπηρεσία — ενημερωτικό, όχι υπηρεσία",KENTRO
παλαιοτητα_1955,no_service,,,0.257,Αίτημα για καθαριότητα κοινόχρηστου χώρου,Γενικό αίτημα καθαριότητας,δεν υπάρχει υπηρεσία — καμία βεβαίωση παλαιότητας στο KB,POLEODOMIA
παλαιοτητα_1990,no_service,,,0.257,Αίτημα για καθαριότητα κοινόχρηστου χώρου,Γενικό αίτημα καθαριότητας,δεν υπάρχει υπηρεσία — καμία βεβαίωση παλαιότητας στο KB,POLEODOMIA
παλαιοτητα_κτισματος,no_service,,,0.202,Αίτημα για καθαριότητα κοινόχρηστου χώρου,ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας,δεν υπάρχει υπηρεσία — καμία βεβαίωση παλαιότητας στο KB,POLEODOMIA
παλαιοτητα_οδου,no_service,,,0.231,Αίτημα για καθαριότητα κοινόχρηστου χώρου,Γενικό αίτημα καθαριότητας,δεν υπάρχει υπηρεσία — καμία βεβαίωση παλαιότητας στο KB,POLEODOMIA
παλαιοτητα_οικοπεδου,no_service,,,0.269,Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση,Αίτημα για καθαριότητα κοινόχρηστου χώρου,δεν υπάρχει υπηρεσία — καμία βεβαίωση παλαιότητας στο KB,POLEODOMIA
προεγκριση_αδειας_παιδοτοπου,no_service,,,0.228,Κατάθεση Δικαιολογητικών Μ.Φ.Π.Α.&Δ. Για την έγκριση πρόσληψης προσωπικού,Έγκριση από ΣΥ.ΠΟ.Θ.Α. ( για διαφορά ειδικού προστίμου >20% δήλωσης υπαγωγής),δεν υπάρχει αντίστοιχη υπηρεσία στο KB,ADEIODOTISEIS
στεγαστρο_οασα,no_service,,,0.198,Καταστροφή και απομάκρυνση ζιζανίων,Επιστροφή χρημάτων,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,TEXNIKI
συμμετοχη_εμποροπανηγυρη,no_service,,,0.186,Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο,Σύμφωνο Συμβίωσης (Ν.4356/2015),δεν υπάρχει αντίστοιχη υπηρεσία στο KB,YPAITHRIO
συνδεση_φυσικου_αεριου,no_service,,,0.284,Αίτηση για Φυσικοθεραπεία,Αίτηση για Φυσικοθεραπεία κατ'οίκον,"δεν υπάρχει υπηρεσία — αρμοδιότητα ΕΔΑ, όχι δήμου",KENTRO
τελος_0_5,no_service,,,0.171,ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας,Αίτηση Τέλεσης Πολιτικού Γάμου μετά την έκδοση των αδειών,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,PROSODOI
τεχνικη_υπηρεσια,no_service,,,0.312,Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες,Διαχείριση Καλλιτεχνικής Δραστηριοτητας εντός της Παλιάς Πόλης,δεν υπάρχει υπηρεσία — να απαντά με τηλέφωνο τμήματος,TEXNIKI
χιλιομετρικη_αποσταση,no_service,,,0.259,Βεβαίωση Υψομέτρου,Επισκευή και αντικατάσταση κάδων απορριμάτων,δεν υπάρχει αντίστοιχη υπηρεσία στο KB,TEXNIKI
αδεια_βυθισησ_υποβιβασμου_πεζοδρομιου,auto,Χορήγηση άδειας βύθισης ή υποβιβασμού πεζοδρομίου,https://eservices.heraklion.gr/e-services/technical-services/xorogisi-adias-bithisis.html,0.906,Χορήγηση άδειας βύθισης ή υποβιβασμού πεζοδρομίου,Χορήγηση άδειας κατασκευής πεζοδρομίου,,
αδεια_διακοπης_κυκλοφοριας,auto,Χορήγηση άδειας διακοπής κυκλοφορίας,https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-diakopis-kukloforias.html,0.910,Χορήγηση άδειας διακοπής κυκλοφορίας,Αιτήματα για κυκλοφοριακές ρυθμίσεις,,
αδεια_διελευσης_βαρεων_οχηματων,auto,Χορήγηση άδειας διέλευσης βαρέων οχημάτων,https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-dieleusis-bareon-oximaton.html,0.911,Χορήγηση άδειας διέλευσης βαρέων οχημάτων,Χορήγηση άδειας διέλευσης και στάθμευσης οχήματος σε πεζόδρομους,,
αδεια_κατασκευησ_πεζοδρομιου,auto,Χορήγηση άδειας κατασκευής πεζοδρομίου,https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-kataskeuis-pezodromiou.html,0.835,Χορήγηση άδειας κατασκευής πεζοδρομίου,Χορήγηση άδειας βύθισης ή υποβιβασμού πεζοδρομίου,,
αδεια_κοινοχρηστου_καδου_οικοδομικων_υπολειμματων,auto,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση κάδου απορριμμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες",https://eservices.heraklion.gr/e-services/technical-services/adia-xrisis-koin-xorou-topothetisi-kadou.html,0.363,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση κάδου απορριμμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες",Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018),high,
αδεια_μουσικων_ιδρυματων,auto,Δικαιολογητικά Χορήγησης Άδειας ίδρυσης και λειτουργίας Ιδιωτικών Μουσικών Ιδρυμάτων και Χορωδιών κ.α.,https://eservices.heraklion.gr/e-services/adeia-gia-moysika-idrymata/adeiodothsh-moysikwn-idrymatwn.html,0.327,"Αδειοδότηση Ωδείων, Μουσικών Σχολών και Χορωδιών κ.α.",Δικαιολογητικά Χορήγησης Άδειας ίδρυσης και λειτουργίας Ιδιωτικών Μουσικών Ιδρυμάτων και Χορωδιών κ.α.,high — ωδεία/σχολές μουσικής/χορωδίες,
αδεια_οριζοντιας_σημανσης_εισοδου_εξοδου,auto,Χορήγηση άδειας οριζόντιας σήμανσης της εισόδου-εξόδου ιδιωτικού χώρου στάθμευσης,https://eservices.heraklion.gr/e-services/technical-services/parking.html,0.716,Χορήγηση άδειας οριζόντιας σήμανσης της εισόδου-εξόδου ιδιωτικού χώρου στάθμευσης,Χορήγηση βεβαίωσης σήμανσης οδών,,
αδεια_πεζοδρομου,auto,Χορήγηση άδειας διέλευσης και στάθμευσης οχήματος σε πεζόδρομους,https://eservices.heraklion.gr/e-services/technical-services/adia-dieleusis-stathmeusis-pezodromous.html,0.534,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες",high,
αδεια_τοποθετηση_περιγραξη_οδοστρωματοσ,auto,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες",https://eservices.heraklion.gr/e-services/technical-services/xrisi-koinoxristou-xorou-perifraksi.html,0.417,Αίτηση για βλάβη στο οδόστρωμα,Χορήγηση άδειας τοποθέτησης ικριωμάτων,high,
αδεια_τοποθετησης_ικριωματων,auto,Χορήγηση άδειας τοποθέτησης ικριωμάτων,https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-topothetisis-ikriomaton.html,0.890,Χορήγηση άδειας τοποθέτησης ικριωμάτων,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες",,
αδεια_χρησης_κοινοχρηστου_περιφραξης_οδοστρωματος,auto,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες",https://eservices.heraklion.gr/e-services/technical-services/xrisi-koinoxristou-xorou-perifraksi.html,0.461,"Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες",Αίτηση για βλάβη στο οδόστρωμα,,
αδειοδοτηση_αθλητικων_εγκαταστασεων,auto,Αδειοδότηση Αθλητικών Εγκαταστάσεων,https://eservices.heraklion.gr/e-services/sports/sportslicence.html,1.000,Αδειοδότηση Αθλητικών Εγκαταστάσεων,"Αδειοδότηση Ωδείων, Μουσικών Σχολών και Χορωδιών κ.α.",,
αδειοδοτηση_ωδειων_μουσικων_σχολων_χορωδιων,auto,"Αδειοδότηση Ωδείων, Μουσικών Σχολών και Χορωδιών κ.α.",https://eservices.heraklion.gr/e-services/adeia-gia-moysika-idrymata/music.html,0.897,"Αδειοδότηση Ωδείων, Μουσικών Σχολών και Χορωδιών κ.α.",Δικαιολογητικά Χορήγησης Άδειας ίδρυσης και λειτουργίας Ιδιωτικών Μουσικών Ιδρυμάτων και Χορωδιών κ.α.,,
αιτημα_κυκλοφοριακων_ρυθμισεων,auto,Αιτήματα για κυκλοφοριακές ρυθμίσεις,https://eservices.heraklion.gr/e-services/technical-services/aitima-kukloforiakes-ruthmiseis.html,0.766,Αιτήματα για κυκλοφοριακές ρυθμίσεις,Χορήγηση άδειας διακοπής κυκλοφορίας,,
αιτημα_οδοκαθαρισμου,auto,Αίτημα για οδοκαθαρισμό,https://eservices.heraklion.gr/e-services/cleanness/aitima-odokathrismos.html,0.901,Αίτημα για οδοκαθαρισμό,Γενικό αίτημα καθαριότητας,,
αιτημα_παραχωρηση_εξοπλισμου_εκδηλωσεων,auto,"Αιτήματα για παραχώρηση εξοπλισμού για εκδηλώσεις (τραπέζια ,καρέκλες )",https://eservices.heraklion.gr/e-services/technical-services/aitimata-paraxorisis-eksoplismou-ekdilosis.html,0.643,"Αιτήματα για παραχώρηση εξοπλισμού για εκδηλώσεις (τραπέζια ,καρέκλες )",Παραχώρηση χώρων του Δήμου για εκδηλώσεις,high,
αιτημα_τροποποιησησ_αυτοδικαιησ_αρσησ_ρυμοτομικησ_απαλλοτριωσησ,auto,Αίτημα τροποποίησης λόγω αυτοδίκαιης άρσης ρυμοτομικής απαλλοτρίωσης/δέσμευσης,https://eservices.heraklion.gr/e-services/town-planning/aitima-tropopoihsis-logo-aytodikaihs-arsis-rumotomikis-apallotriosis.html,0.797,Αίτημα τροποποίησης λόγω αυτοδίκαιης άρσης ρυμοτομικής απαλλοτρίωσης/δέσμευσης,Τροποποίηση σχεδίου πόλης,,
αιτηση_ασφαλτοστρωσης_τσιμεντοστρωσης_διαστρωσης_3α,auto,Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α,https://eservices.heraklion.gr/e-services/technical-services/aitisi-gia-asfaltostrosi.html,0.885,Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α,Αίτηση για βλάβη στο οδόστρωμα,,
αιτηση_βλαβης_οδοστρωματος,auto,Αίτηση για βλάβη στο οδόστρωμα,https://eservices.heraklion.gr/e-services/technical-services/aitisi-gia-blabi-sto-odostroma.html,0.705,Αίτηση για βλάβη στο οδόστρωμα,Δήλωση Βλάβης ΔΕΥΑΗ,,
αιτηση_εργοθεραπειας,auto,Αίτηση για Εργοθεραπεία,https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-ergotherapia.html,0.923,Αίτηση για Εργοθεραπεία,Αίτηση για Εργοθεραπεία κατ'οίκον,,
αιτηση_ιατρονοσηλευτικης_φροντιδας_καπη,auto,Αίτηση για Ιατρονοσηλευτική,https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-iatronosileutiki.html,0.770,Αίτηση για Ιατρονοσηλευτική,Αίτηση για Ιατρονοσηλευτική κατ'οίκον,,
αιτηση_παραχωρησης_αποκλειστικης_θεσης_σταθμευσης_αμεα,auto,Χορήγηση θέσης στάθμευσης για ΑMΕΑ,https://eservices.heraklion.gr/e-services/technical-services/xorigisi-thesis-stathmeusis-AMEA.html,0.515,Χορήγηση θέσης στάθμευσης για ΑMΕΑ,Κατάθεση Ένστασης - Αντίρρησης για παράνομη στάθμευση,,
αλλαγη_διευθυνσησ,auto,Αλλαγή διεύθυνσης,https://eservices.heraklion.gr/e-services/municipal-roll/allagi-dieuthinsis.html,0.955,Αλλαγή διεύθυνσης,Βεβαίωση ακριβούς διεύθυνσης ακινήτων,,
απαλλαγη_προσαυξησεων_βεβαιωμενης_οφειλης,auto,Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής,https://eservices.heraklion.gr/e-services/economic-services/apalagi-prosauksisewn.html,1.000,Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής,Βεβαίωση περί μη οφειλής εισφοράς σε χρήμα,,
απεντομωση_κοινοχρηστων,auto,Απεντόμωση σε κοινόχρηστους χώρους,https://eservices.heraklion.gr/e-services/technical-services/apentomosi-koinoxristo-xoro.html,0.763,Απεντόμωση σε κοινόχρηστους χώρους,Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες,,
