"intent","δείγματα","status","score","url","τίτλος","εναλλακτική_2","εναλλακτική_3"
"ληξιαρχείο","69","ΕΛΕΓΞΕ","0.787","https://eservices.heraklion.gr/e-services/register/metaboles.html","Μεταβολές Ληξιαρχικών Πράξεων(άρθρο 14 ν. 344/1976)","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Συμφώνου Συμβίωσης","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γεννήσεως"
"ογκοδέματα","69","ΕΛΕΓΞΕ","0.784","https://eservices.heraklion.gr/e-services/cleanness/apomakrinsi-ogkodwn-antikimenwn.html","Απομάκρυνση ογκωδών αντικειμένων με ραντεβού","Απομάκρυνση εγκαταλελειμμένων ογκωδών αντικειμένων από κοινόχρηστους χώρους","Κατασχέσεις"
"βλάβη_αγωγού_ύδρευσης","70","ΕΛΕΓΞΕ","0.748","https://eservices.heraklion.gr/e-services/technical-services/blabes-ardeutikou-diktiou.html","Βλάβες αρδευτικών δικτύων","Δήλωση Βλάβης ΔΕΥΑΗ","Αίτηση για βλάβη στο οδόστρωμα"
"βεβαίωση_εγκατάστασης_καταστήματος","67","ΕΛΕΓΞΕ","0.722","https://eservices.heraklion.gr/e-services/sports/sportslicence.html","Αδειοδότηση Αθλητικών Εγκαταστάσεων","Καταγγελία αυθαίρετης κατασκευής","Έλεγχος επικινδυνότητας κατασκευών"
"βεβαίωση_ορίων_ιδιοκτησίας","71","ΕΛΕΓΞΕ","0.705","https://eservices.heraklion.gr/e-services/town-planning/bebeosis-upobolos-dilosis-idioktisias.html","Βεβαίωση υποβολής δήλωσης ιδιοκτησίας","Υποβολή δήλωσης ιδιοκτησίας σε πολεοδομική μελέτη","Χορήγηση Βεβαίωσης Χρήσης Γης"
"είσοδος_έξοδος","71","ΕΛΕΓΞΕ","0.703","https://eservices.heraklion.gr/e-services/technical-services/parking.html","Χορήγηση άδειας οριζόντιας σήμανσης της εισόδου-εξόδου ιδιωτικού χώρου στάθμευσης","Κυκλοφοριακές συνδέσεις/είσοδοι-έξοδοι","Χορήγηση άδειας βύθισης ή υποβιβασμού πεζοδρομίου"
"αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου","69","ΕΛΕΓΞΕ","0.701","https://eservices.heraklion.gr/e-services/technical-services/adia-koinox-xorou-ikriomata.html","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση κάδου απορριμμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες"
"κατάληψη_κοινόχρηστου","69","ΕΛΕΓΞΕ","0.677","https://eservices.heraklion.gr/e-services/year.html","Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες","Έκδοση ετήσιων αδειών κοινόχρηστων χώρων","Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες"
"κατάληψη_κοινόχρηστου_χώρου","69","ΕΛΕΓΞΕ","0.637","https://eservices.heraklion.gr/e-services/technical-services/fiteusi-se-koinoxristo-xoro.html","Φύτευση σε κοινόχρηστους χώρους","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε πεζοδρόμια, πεζόδρομους και πλατείες","Απεντόμωση σε κοινόχρηστους χώρους"
"σήμανση_ονοματοθεσίας","69","ΕΛΕΓΞΕ","0.626","https://eservices.heraklion.gr/e-services/municipal-police/aitisi-mi-paradosis-pinakidon.html","Αίτηση μη παράδοσης πινακίδων","Αίτηση επιστροφής πινακίδων","Ονομασία ανώνυμων οδών"
"αγωγοί_αποχέτευσης","71","ΕΛΕΓΞΕ","0.583","https://eservices.heraklion.gr/e-services/deyah/deyah-blabi.html","Δήλωση Βλάβης ΔΕΥΑΗ","Κατασχέσεις","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών"
"αναγγελία_κομμωτή","69","ΕΛΕΓΞΕ","0.573","https://eservices.heraklion.gr/e-services/technical-services/kataggelia-zwa-syntrofias.html","Καταγγελία (Ζώα συντροφιάς - αδέσποτα)","Καταγγελίες (Παραβάσεις Κ.Ο.Κ.)","Καταγγελίες (Εμπόδια στο οδόστρωμα)"
"διακοπή_ηλεκτροδότησης","68","ΕΛΕΓΞΕ","0.567","https://eservices.heraklion.gr/e-services/ilektr.html","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","Κατασχέσεις","Βλάβες του δικτύου δημοτικού φωτισμού"
"βεβαίωση_όρων_δόμησης","70","ΕΛΕΓΞΕ","0.560","https://eservices.heraklion.gr/e-services/town-planning/ekdosh-PEK.html","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","Βεβαίωση για χαρακτηρισμό κτιρίου (Προτεινόμενου ως διατηρητέου ή μη)","Χορήγηση βεβαίωσης σήμανσης οδών"
"απαλλαγή_δημοτικών_τελών_covid","69","ΕΛΕΓΞΕ","0.552","https://eservices.heraklion.gr/e-services/economic-services/apalagi-prosauksisewn.html","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","Έκδοση δημοτικής ενημερότητας","Παραβάσεις ΚΟΚ και πρόστιμα"
"βεβαίωση_αρτιότητας","69","ΕΛΕΓΞΕ","0.548","https://eservices.heraklion.gr/e-services/economic-services/apalagi-prosauksisewn.html","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","Διακανονισμός οφειλής (Για φυσικό πρόσωπο)","Βεβαίωση Υψομέτρου"
"έλεγχος_λογαριασμού_ύδρευσης","71","ΕΛΕΓΞΕ","0.540","https://eservices.heraklion.gr/e-services/deyah/deyah-exoflisi.html","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","Έλεγχος επικινδυνότητας κατασκευών"
"ταπ_μη_ηλεκτροδοτούμενα","69","ΕΛΕΓΞΕ","0.537","https://eservices.heraklion.gr/e-services/ilektr.html","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)"
"άδεια_οικοδομής","71","ΕΛΕΓΞΕ","0.534","https://eservices.heraklion.gr/e-services/town-planning/ekdosh-PEK.html","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες","Καταγγελία αυθαίρετης κατασκευής"
"αίτηση_εκταφής","69","ΕΛΕΓΞΕ","0.528","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-iatronosileutiki.html","Αίτηση για Ιατρονοσηλευτική","Αίτηση για Ιατρονοσηλευτική κατ'οίκον","Αίτημα για οδοκαθαρισμό"
"αίτηση_ταφής_σε_οικογενειακό_τάφο","67","ΕΛΕΓΞΕ","0.525","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-oikogeniaki-boithia-kat-oikon.html","Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Θανάτου"
"αίτηση_γενικού_τεχνικού_περιεχομένου","70","ΕΛΕΓΞΕ","0.524","https://eservices.heraklion.gr/e-services/municipal-police/geniki-aitisi-gia-kok.html","Γενική αίτηση για θέματα Κ.Ο.Κ","Γενική Αίτηση για θέματα Επιδομάτων","Ένσταση (μελέτης κτηματογράφησης ή μελέτης πολεοδόμησης ή τροποποίησης ρυμοτομικού σχεδίου)"
"καθαρισμός_φρεατίου","71","ΕΛΕΓΞΕ","0.508","https://eservices.heraklion.gr/e-services/cleanness/aitima-odokathrismos.html","Αίτημα για οδοκαθαρισμό","Γενικό αίτημα καθαριότητας","Αίτημα για καθαριότητα κοινόχρηστου χώρου"
"οικοδομησιμότητα","67","ΕΛΕΓΞΕ","0.503","https://eservices.heraklion.gr/e-services/technical-services/street-build.html","Εκτέλεση έργων Οδοποιίας","Καταγγελία αυθαίρετης κατασκευής","Ένσταση (μελέτης κτηματογράφησης ή μελέτης πολεοδόμησης ή τροποποίησης ρυμοτομικού σχεδίου)"
"τεχνική_υπηρεσία","70","ΕΛΕΓΞΕ","0.502","https://eservices.heraklion.gr/e-services/technical-services/street-build.html","Εκτέλεση έργων Οδοποιίας","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Αδειοδότηση Αθλητικών Εγκαταστάσεων"
"ενοικίαση_οστεοφυλακίου","68","ΕΛΕΓΞΕ","0.496","https://eservices.heraklion.gr/e-services/municipal-roll/bebeosi-monimis-katoikias-dimoti.html","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου","Μεταδημότευση λόγω διετούς κατοικίας","Αίτηση για διάθεση σήματος στάθμευσης μονίμου κατοίκου"
"παλαιότητα_οδού","69","ΕΛΕΓΞΕ","0.493","https://eservices.heraklion.gr/e-services/town-planning/bebeosi-ypsometrou.html","Βεβαίωση Υψομέτρου","Κατασχέσεις","Εκτέλεση έργων Οδοποιίας"
"μη_οφειλή_ταπ_οικόπεδα","68","ΕΛΕΓΞΕ","0.483","https://eservices.heraklion.gr/e-services/town-planning/e-tap.html","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση","Φύτευση σε κοινόχρηστους χώρους"
"ενοικίαση_τάφου","68","ΕΛΕΓΞΕ","0.482","https://eservices.heraklion.gr/e-services/municipal-roll/bebeosi-monimis-katoikias-dimoti.html","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου","Μεταδημότευση λόγω διετούς κατοικίας","Αίτηση για διάθεση σήματος στάθμευσης μονίμου κατοίκου"
"καθρέφτης_ορατότητας","69","ΕΛΕΓΞΕ","0.476","https://eservices.heraklion.gr/e-services/technical-services/topothetisipinakidon-simansis-kaurepton.html","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Βεβαίωση Υψομέτρου","Τοποθέτηση Φωτιστικών Σωμάτων"
"άδεια_παιδότοπου","69","ΕΛΕΓΞΕ","0.474","https://eservices.heraklion.gr/e-services/idiwtikoi-paidikoi-stathmoi.html","Μονάδες Φροντίδας Προσχολικής Αγωγής & Διαπαιδαγώγησης","Πιστοποιητικό Ταυτοπροσωπίας για Ενήλικα","Πιστοποιητικό Ταυτοπροσωπίας Ανηλίκων"
"τέλη_καθαριότητας_κοιμητηρίων","69","ΕΛΕΓΞΕ","0.473","https://eservices.heraklion.gr/e-services/cleanness/geniko-aitima-kathariotitas.html","Γενικό αίτημα καθαριότητας","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Κατάθεση ένστασης για πρόστιμο καθαριότητας"
"αγορά_οικογενειακού_τάφου","71","ΕΛΕΓΞΕ","0.472","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoiitikou-oikog-katastasis.html","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον","Χορήγηση Πιστοποιητικού πλησιέστερων συγγενών"
"συμμετοχή_εμποροπανήγυρη","68","ΕΛΕΓΞΕ","0.472","https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-laikes.html","Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο","Αίτηση για Ιατρονοσηλευτική","Εκτέλεση έργων Οδοποιίας"
"αίτηση_χορήγησης_αντιγράφου_ήδη_χορηγηθείσας_βεβαίωσης","69","ΕΛΕΓΞΕ","0.470","https://eservices.heraklion.gr/e-services/town-planning/antigrafo-fakelou-katagegramenou-aftheretou.html","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","Αντίγραφα στοιχείων αδειών δόμησης (μετά το έτος 2018)","Χορήγηση βεβαίωσης σήμανσης οδών"
"προέγκριση_άδειας_παιδότοπου","70","ΕΛΕΓΞΕ","0.465","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/xorigisi-adeias-idrisis-mfpad.html","Χορήγηση αναθεώρησης - ενιαίας άδειας ίδρυσης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης","Χορήγηση άδειας τοποθέτησης ικριωμάτων","Χορήγηση ενιαίας άδειας ίδρυσης-αναθεώρησης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης"
"παλαιότητα_οικοπέδου","67","ΕΛΕΓΞΕ","0.462","https://eservices.heraklion.gr/e-services/town-planning/bebeosi-ypsometrou.html","Βεβαίωση Υψομέτρου","Αίτηση για κατασκευή σκιαδιών ή πέργολας ή άλλου τέτοιου είδους κατασκευών σε κοινόχρηστο χώρο της Παλαιάς Πόλης","Παραχώρηση χώρων του Δήμου για εκδηλώσεις"
"επικοινωνία","70","ΕΛΕΓΞΕ","0.456","https://eservices.heraklion.gr/e-services/iatreio/maia.html","Επίσκεψη στη ΜΑΙΑ","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","Απεντόμωση σε κοινόχρηστους χώρους"
"επέκταση_δικτύου_ύδρευσης","71","ΕΛΕΓΞΕ","0.451","https://eservices.heraklion.gr/e-services/technical-services/blabes-ardeutikou-diktiou.html","Βλάβες αρδευτικών δικτύων","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","Βλάβες του δικτύου δημοτικού φωτισμού"
"αλλαγή_στοιχείων_λογαριασμού_ύδρευσης","70","ΕΛΕΓΞΕ","0.449","https://eservices.heraklion.gr/e-services/town-planning/bebeosi-ypsometrou.html","Βεβαίωση Υψομέτρου","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","Κατασχέσεις"
"διακοπή_υδροδότησης","71","ΕΛΕΓΞΕ","0.447","https://eservices.heraklion.gr/e-services/economic-services/katasxesis.html","Κατασχέσεις","Βεβαίωση Υψομέτρου","Δήλωση Βλάβης ΔΕΥΑΗ"
"μεταφορά_οστών","70","ΕΛΕΓΞΕ","0.445","https://eservices.heraklion.gr/e-services/cleanness/metakinisi-metafora-topothetisi-kadwn.html","Μετακίνηση, μεταφορά και τοποθέτηση κάδων απορριμάτων και ανακύκλωσης","Κατασχέσεις","Εκτέλεση έργων Οδοποιίας"
"παλαιότητα_κτίσματος","70","ΕΛΕΓΞΕ","0.436","https://eservices.heraklion.gr/e-services/old-city-construct.html","Αίτηση για κατασκευή σκιαδιών ή πέργολας ή άλλου τέτοιου είδους κατασκευών σε κοινόχρηστο χώρο της Παλαιάς Πόλης","Βεβαίωση Υψομέτρου","Διαχείριση Καλλιτεχνικής Δραστηριοτητας εντός της Παλιάς Πόλης"
"στέγαστρο_οασα","69","ΕΛΕΓΞΕ","0.432","https://eservices.heraklion.gr/e-services/town-planning/bebeosi-ypsometrou.html","Βεβαίωση Υψομέτρου","Παραχώρηση χώρων του Δήμου για εκδηλώσεις","Εκτέλεση έργων Οδοποιίας"
"παγκάκια","68","ΕΛΕΓΞΕ","0.426","https://eservices.heraklion.gr/e-services/town-planning/bebeosi-ypsometrou.html","Βεβαίωση Υψομέτρου","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Κατασχέσεις"
"παλαιότητα_1990","70","ΕΛΕΓΞΕ","0.420","https://eservices.heraklion.gr/e-services/register/dilosibaptisi.html","Δήλωση Βάπτισης (άρθρο 26 & 27 ν.344/1976)","Βεβαίωση Υψομέτρου","Διόρθωση ηλικίας"
"επανασύνδεση_παροχής","70","ΕΛΕΓΞΕ","0.418","https://eservices.heraklion.gr/e-services/economic-services/epistrofi-xrimatwn.html","Επιστροφή χρημάτων","Εκτέλεση έργων Οδοποιίας","Κατασχέσεις"
"αναγγελία_τεχνίτη_άκρων","69","ΕΛΕΓΞΕ","0.417","https://eservices.heraklion.gr/e-services/technical-services/topothetisipinakidon-simansis-kaurepton.html","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Αίτηση για Ιατρονοσηλευτική","Έκδοση Έκθεσης Αυτοψίας για Νομιμοποίηση"
"παλαιότητα_1955","70","ΕΛΕΓΞΕ","0.413","https://eservices.heraklion.gr/e-services/register/dilosibaptisi.html","Δήλωση Βάπτισης (άρθρο 26 & 27 ν.344/1976)","Δήλωση Θανάτου (αρθρα 32 & 33 ν.344/1976)","Βεβαίωση Υψομέτρου"
"εγγραφή_σημείου_υδροληψίας","67","ΕΛΕΓΞΕ","0.412","https://eservices.heraklion.gr/e-services/town-planning/antigrafo-fakelou-katagegramenou-aftheretou.html","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","Διαγραφή οφειλής","Βεβαίωση Υψομέτρου"
"δελτία_τύπου","70","ΕΛΕΓΞΕ","0.409","https://eservices.heraklion.gr/e-services/economic-services/katasxesis.html","Κατασχέσεις","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","Βεβαίωση Υψομέτρου"
"μείωση_τιμολογίου","70","ΕΛΕΓΞΕ","0.408","https://eservices.heraklion.gr/e-services/economic-services/diagrafi-ofilis.html","Διαγραφή οφειλής","Βεβαίωση παρακράτησης φόρου (για προμηθευτές)","Βεβαίωση περί μη οφειλής εισφοράς σε χρήμα"
"νέα_ανακοινώσεις","69","ΕΛΕΓΞΕ","0.406","https://eservices.heraklion.gr/e-services/technical-services/street-build.html","Εκτέλεση έργων Οδοποιίας","Κατασχέσεις","Πιστοποιητικό Ταυτοπροσωπίας Ανηλίκων"
"χιλιομετρική_απόσταση","70","ΕΛΕΓΞΕ","0.391","https://eservices.heraklion.gr/e-services/town-planning/bebeosi-ypsometrou.html","Βεβαίωση Υψομέτρου","Κατασχέσεις","Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α"
"θεώρηση_γραμμών","69","ΕΛΕΓΞΕ","0.385","https://eservices.heraklion.gr/e-services/economic-services/diagrafi-ofilis.html","Διαγραφή οφειλής","Κατασχέσεις","Πιστοποιητικό Ταυτοπροσωπίας για Ενήλικα"
"άδεια_παραγωγού_αγρότη","68","ΕΛΕΓΞΕ","0.382","https://eservices.heraklion.gr/e-services/technical-services/problimata-fitoigias.html","Προβλήματα φυτοϋγείας","Χορήγηση άδειας τοποθέτησης ικριωμάτων","Ένσταση (μελέτης κτηματογράφησης ή μελέτης πολεοδόμησης ή τροποποίησης ρυμοτομικού σχεδίου)"
"μητρώο_αρρένων","72","ΕΛΕΓΞΕ","0.382","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoiitikou-genisis.html","Χορήγηση Πιστοποιητικού Γέννησης","Πιστοποιητικό Ταυτοπροσωπίας για Ενήλικα","Βεβαίωση Υψομέτρου"
"νέα_παροχή_ύδρευσης","68","ΕΛΕΓΞΕ","0.382","https://eservices.heraklion.gr/e-services/technical-services/topothetisipinakidon-simansis-kaurepton.html","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Βεβαίωση Υψομέτρου","Φύτευση σε κοινόχρηστους χώρους"
"μείωση_τελών_λόγω_αναπηρίας","68","ΕΛΕΓΞΕ","0.376","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/xorigisi-pistop-oik-adinamias.html","Χορήγηση πιστοποιητικού οικονομικής αδυναμίας","Βεβαίωση περί μη οφειλής εισφοράς σε χρήμα","Παραβάσεις ΚΟΚ και πρόστιμα"
"επικαιροποίηση_στοιχείων_υδροληψίας","70","ΕΛΕΓΞΕ","0.371","https://eservices.heraklion.gr/e-services/technical-services/topothetisipinakidon-simansis-kaurepton.html","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Βεβαίωση Υψομέτρου","Εκτέλεση έργων Οδοποιίας"
"τέλος_0_5","68","ΕΛΕΓΞΕ","0.365","https://eservices.heraklion.gr/e-services/economic-services/bebeosis-peri-mi-ofilis-isforas-se-xrima.html","Βεβαίωση περί μη οφειλής εισφοράς σε χρήμα","Βεβαίωση Υψομέτρου","Διαγραφή οφειλής"
"διακοπή_παροχής_ύδατος","68","ΕΛΕΓΞΕ","0.361","https://eservices.heraklion.gr/e-services/economic-services/katasxesis.html","Κατασχέσεις","Βεβαίωση Υψομέτρου","Δήλωση Βλάβης ΔΕΥΑΗ"
"σύνδεση_φυσικού_αερίου","71","ΕΛΕΓΞΕ","0.353","https://eservices.heraklion.gr/e-services/ilektr.html","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","Δήλωση Βλάβης ΔΕΥΑΗ","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας"
"δημοτική_ενημερότητα","68","ok","1.286","https://eservices.heraklion.gr/e-services/economic-services/ekdosi-dhm-enhmerotitas.html","Έκδοση δημοτικής ενημερότητας","Ασφαλιστική ενημερότητα του Δήμου","Έκδοση Δημοτικής Ενημερότητας Βεβαιωμένων Χρεών"
"ασφαλτόστρωση_οδού","69","ok","1.174","https://eservices.heraklion.gr/e-services/technical-services/aitisi-gia-asfaltostrosi.html","Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α","Εκτέλεση έργων Οδοποιίας","Κατασχέσεις"
"υψόμετρο","69","ok","1.147","https://eservices.heraklion.gr/e-services/town-planning/bebeosi-ypsometrou.html","Βεβαίωση Υψομέτρου","Κατασχέσεις","Εκτέλεση έργων Οδοποιίας"
"πιστοποιητικό_οικογενειακής_κατάστασης","77","ok","1.143","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoiitikou-oikog-katastasis.html","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον","Μεταδημότευση της/του συζύγου (λόγω γάμου ή συμφώνου συμβίωσης όταν ένας από τους δύο είναι ήδη δημότης)"
"πλησιέστεροι_συγγενείς","70","ok","1.136","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoitikou-plisiesterwn-suggenon.html","Χορήγηση Πιστοποιητικού πλησιέστερων συγγενών","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον"
"βεβαίωση_χρήσης_γης","70","ok","1.127","https://eservices.heraklion.gr/e-services/town-planning/certification-use-ground.html","Χορήγηση Βεβαίωσης Χρήσης Γης","Βεβαίωση ακριβούς διεύθυνσης ακινήτων","Βεβαίωση περί μη οφειλών (προσκύρωσης, αυθαίρετης κατασκευής, εισφοράς σχεδίου πόλης)"
"άδεια_πωλητή_υπαίθριου_εμπορίου","69","ok","1.077","https://eservices.heraklion.gr/e-services/municipal-police/kataggelia-laikes.html","Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο","Λαϊκές Αγορές: Ημέρες και οδοί λειτουργίας στον Δήμο Ηρακλείου","Αδειοδότηση Αθλητικών Εγκαταστάσεων"
