"intent","ενέργεια","υπηρεσία","url","ενότητα","σημείωση"
"υδ_παροχή_δωρεάν_φαρμακευτικής_περίθαλψης","ΝΕΟ","Αίτηση - ΥΔ για παροχή δωρεάν φαρμακευτικής περίθαλψης σε ανασφάλιστου","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-yd-paroxi-farmakeu-perithalpsi.html","Εφαρμογής επιδοματικής πολιτικής και ελέγχου",""
"χορήγησης_οικονομικής_ενίσχυσης_πληγέντες_δήμου","ΝΕΟ","Αίτηση χορήγησης οικονομικής ενίσχυσης στους πληγέντες του Δήμου Ηρακλείου για τη φυσική καταστροφή της .../.../20","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-xorigisis-oik-enisx-pligentes-dimou.html","Εφαρμογής επιδοματικής πολιτικής και ελέγχου",""
"εργοθεραπεία","ΝΕΟ","Αίτηση για Εργοθεραπεία","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-ergotherapia.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας",""
"εργοθεραπεία_κατ_οίκον","ΝΕΟ","Αίτηση για Εργοθεραπεία κατ'οίκον","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-ergotherapia-kat-oikon.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας",""
"ιατρονοσηλευτική","ΝΕΟ","Αίτηση για Ιατρονοσηλευτική","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-iatronosileutiki.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"ιατρονοσηλευτική_κατ_οίκον","ΝΕΟ","Αίτηση για Ιατρονοσηλευτική κατ'οίκον","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-iatronosileutiki-kat-oikon.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας",""
"κοινωνική_εργασία","ΝΕΟ","Αίτηση για Κοινωνική Εργασία","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-koinoniki-ergasia.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας",""
"κοινωνική_εργασία_κατ_οίκον","ΝΕΟ","Αίτηση για Κοινωνική Εργασία κατ'οίκον","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-koinoniki-ergasia-kat-oikon.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας",""
"οικογενειακή_βοήθεια_κατ_οίκον","ΝΕΟ","Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-oikogeniaki-boithia-kat-oikon.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας",""
"φυσικοθεραπεία","ΝΕΟ","Αίτηση για Φυσικοθεραπεία","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-fysikotherapia.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας",""
"φυσικοθεραπεία_κατ_οίκον","ΝΕΟ","Αίτηση για Φυσικοθεραπεία κατ'οίκον","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/aitisi-fisikotherapia-kat-oikon.html","ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"ένστασης_πρόστιμο_καθαριότητας","ΝΕΟ","Κατάθεση ένστασης για πρόστιμο καθαριότητας","https://eservices.heraklion.gr/e-services/cleanness/katathesi-enstasis-prostimo-kathariotitas.html","Καθαριότητα",""
"γενικό_αίτημα_καθαριότητας","ΝΕΟ","Γενικό αίτημα καθαριότητας","https://eservices.heraklion.gr/e-services/cleanness/geniko-aitima-kathariotitas.html","Καθαριότητα",""
"καθαρισμός_δημοτικών_οικοπέδων_αποψίλωση","ΝΕΟ","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση","https://eservices.heraklion.gr/e-services/cleanness/katharismos-dhmotikon-oikopedon-apopsilosi.html","Καθαριότητα","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"καθαριότητα_κοινόχρηστου_χώρου","ΝΕΟ","Αίτημα για καθαριότητα κοινόχρηστου χώρου","https://eservices.heraklion.gr/e-services/cleanness/aitima-kathariotita-koinoxristou-xwrou.html","Καθαριότητα",""
"μετακίνηση_μεταφορά_τοποθέτηση_κάδων_απορριμάτων","ΝΕΟ","Μετακίνηση, μεταφορά και τοποθέτηση κάδων απορριμάτων και ανακύκλωσης","https://eservices.heraklion.gr/e-services/cleanness/metakinisi-metafora-topothetisi-kadwn.html","Καθαριότητα",""
"οδοκαθαρισμό","ΝΕΟ","Αίτημα για οδοκαθαρισμό","https://eservices.heraklion.gr/e-services/cleanness/aitima-odokathrismos.html","Καθαριότητα",""
"βύθισης_υποβιβασμού_πεζοδρομίου","ΝΕΟ","Χορήγηση άδειας βύθισης ή υποβιβασμού πεζοδρομίου","https://eservices.heraklion.gr/e-services/technical-services/xorogisi-adias-bithisis.html","Κοινόχρηστοι χώροι",""
"κατασκευής_πεζοδρομίου","ΝΕΟ","Χορήγηση άδειας κατασκευής πεζοδρομίου","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-kataskeuis-pezodromiou.html","Κοινόχρηστοι χώροι",""
"χρήσης_κοινόχρηστου_χώρου_τοποθέτηση_κάδου","ΝΕΟ","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση κάδου οικοδομικών υπολειμμάτων σε οδόστρωμα","","Κοινόχρηστοι χώροι","URL: δεν βρέθηκε· ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"χρήσης_κοινόχρηστου_χώρου_τοποθέτηση_περίφραξης","ΝΕΟ","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε οδόστρωμα","","Κοινόχρηστοι χώροι","URL: δεν βρέθηκε· ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"λαϊκές_αγορές_ημέρες_οδοί_λειτουργίας","ΝΕΟ","Λαϊκές Αγορές: Ημέρες και οδοί λειτουργίας στον Δήμο Ηρακλείου","https://eservices.heraklion.gr/e-services/laikes-agores/laikes-agores-hrakleiou.html","Λαϊκές αγορές",""
"αντιγράφου_ληξιαρχικής_πράξης_γεννήσεως","ΝΕΟ","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γεννήσεως","https://eservices.heraklion.gr/e-services/register/liksiarxikis-praksis-genisis.html","Ληξιαρχείο","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"αντιγράφου_ληξιαρχικής_πράξης_συμφώνου_συμβίωσης","ΝΕΟ","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Συμφώνου Συμβίωσης","https://eservices.heraklion.gr/e-services/register/praksi-symfwnou-simbiwsis.html","Ληξιαρχείο",""
"δήλωση_βάπτισης_άρθρο_ν","ΝΕΟ","Δήλωση Βάπτισης (άρθρο 26 & 27 ν.344/1976)","https://eservices.heraklion.gr/e-services/register/dilosibaptisi.html","Ληξιαρχείο",""
"δήλωση_γέννησης_άρθρα_α_ν","ΝΕΟ","Δήλωση γέννησης (άρθρα 20, 21 Α και 23 ν.344/1976)","https://eservices.heraklion.gr/e-services/register/dilosigennisis.html","Ληξιαρχείο",""
"δήλωση_διαζυγίου_άρθρα_α_κ","ΝΕΟ","Δήλωση Διαζυγίου (άρθρα 1438 Α.Κ. και 1441 Α.Κ. όπως αντικαταστάθηκε με το άρθρο 4 του ν.4800/21.5.2021 και 14 του ν.344/1976)","https://eservices.heraklion.gr/e-services/register/dilosidiazigiou.html","Ληξιαρχείο",""
"δήλωση_ονοματοδοσίας_άρθρο_ν","ΝΕΟ","Δήλωση Ονοματοδοσίας (άρθρο 25 ν. 344/1976)","https://eservices.heraklion.gr/e-services/register/dilosionomatodosia.html","Ληξιαρχείο",""
"μεταβολές_ληξιαρχικών_πράξεων","ΝΕΟ","Μεταβολές Ληξιαρχικών Πράξεων(άρθρο 14 ν. 344/1976)","https://eservices.heraklion.gr/e-services/register/metaboles.html","Ληξιαρχείο",""
"σύμφωνο_συμβίωσης_ν","ΝΕΟ","Σύμφωνο Συμβίωσης (Ν.4356/2015)","https://eservices.heraklion.gr/e-services/register/simfonosimviosis.html","Ληξιαρχείο","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"απαλλαγή_προσαυξήσεων_βεβαιωμένης_οφειλής","ΝΕΟ","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","https://eservices.heraklion.gr/e-services/economic-services/apalagi-prosauksisewn.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"ασφαλιστική_ενημερότητα_δήμου","ΝΕΟ","Ασφαλιστική ενημερότητα του Δήμου","https://eservices.heraklion.gr/e-services/economic-services/asfalistiki-enimerotita-dimou.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"βεβαίωση_παρακράτησης_φόρου","ΝΕΟ","Βεβαίωση παρακράτησης φόρου (για προμηθευτές)","https://eservices.heraklion.gr/e-services/economic-services/bebeosi-parakratisis-forou.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"βεβαίωση_περί_μη_οφειλών","ΝΕΟ","Βεβαίωση περί μη οφειλών (προσκύρωσης, αυθαίρετης κατασκευής εισφοράς σχεδίου πόλης)","https://eservices.heraklion.gr/e-services/economic-services/peri-mi-ofeilwn.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"βεβαίωση_πληρωμών_προσκύρωσης_εισφοράς_σχεδίου","ΝΕΟ","Βεβαίωση πληρωμών (προσκύρωσης, εισφοράς σχεδίου πόλης, προστίμου αυθαίρετης κατασκευής)","https://eservices.heraklion.gr/e-services/economic-services/bebeosi-plhromon.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"δημοτικής_ενημερότητας","ΝΕΟ","Έκδοση δημοτικής ενημερότητας","https://eservices.heraklion.gr/e-services/economic-services/ekdosi-dhm-enhmerotitas.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε· ΙΔΙΟ ΜΕ «δημοτική_ενημερότητα» — επαναχρησιμοποίησέ το"
"δημοτικής_ενημερότητας_βεβαιωμένων_χρεών","ΝΕΟ","Έκδοση Δημοτικής Ενημερότητας Βεβαιωμένων Χρεών","https://eservices.heraklion.gr/e-services/economic-services/ekdosi-dimotikis-enimerotitas-bebeomenon-xreon.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε· ΙΔΙΟ ΜΕ «δημοτική_ενημερότητα» — επαναχρησιμοποίησέ το"
"διαγραφή_οφειλής","ΝΕΟ","Διαγραφή οφειλής","https://eservices.heraklion.gr/e-services/economic-services/diagrafi-ofilis.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"διακανονισμός_οφειλής_νομικό_πρόσωπο","ΝΕΟ","Διακανονισμός οφειλής (Για νομικό πρόσωπο)","https://eservices.heraklion.gr/e-services/economic-services/diakanonismos-ofilis.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"διακανονισμός_οφειλής_φυσικό_πρόσωπο","ΝΕΟ","Διακανονισμός οφειλής (Για φυσικό πρόσωπο)","https://eservices.heraklion.gr/e-services/economic-services/diakanonismos-ofilis.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"επιστροφή_χρημάτων","ΝΕΟ","Επιστροφή χρημάτων","https://eservices.heraklion.gr/e-services/economic-services/epistrofi-xrimatwn.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"ετήσιων_αδειών_κοινόχρηστων_χώρων","ΝΕΟ","Έκδοση ετήσιων αδειών κοινόχρηστων χώρων","https://eservices.heraklion.gr/e-services/economic-services/annual-public-places-permit-usage.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"ηλεκτρονικές_πληρωμές_οφειλών","ΝΕΟ","Ηλεκτρονικές Πληρωμές Οφειλών","https://eservices.heraklion.gr/e-services/e-pay/e-pay.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"κατασχέσεις","ΝΕΟ","Κατασχέσεις","https://eservices.heraklion.gr/e-services/economic-services/katasxesis.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"κοινόχρηστων_χώρων_ετήσιες","ΝΕΟ","Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες","https://eservices.heraklion.gr/e-services/year.html","Οικονομική υπηρεσία",""
"παραβάσεις_κοκ_πρόστιμα","ΝΕΟ","Παραβάσεις ΚΟΚ και πρόστιμα","https://eservices.heraklion.gr/e-services/economic-services/kok-violations.html","Οικονομική υπηρεσία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"τροποποίηση_τετραγωνικών_κοινόχρηστου_χώρου","ΝΕΟ","Τροποποίηση τετραγωνικών κοινόχρηστου χώρου","https://eservices.heraklion.gr/e-services/tetragwnika-koinoxrhstou.html","Οικονομική υπηρεσία",""
"έγκριση_συ_πο_θ_α","ΝΕΟ","Έγκριση από ΣΥ.ΠΟ.Θ.Α. ( για διαφορά ειδικού προστίμου >20% δήλωσης υπαγωγής)","https://eservices.heraklion.gr/e-services/town-planning/egkrish-apo-SYPOTHA.html","Πολεοδομία",""
"έκθεσης_αυτοψίας_νομιμοποίηση","ΝΕΟ","Έκδοση Έκθεσης Αυτοψίας για Νομιμοποίηση","https://eservices.heraklion.gr/e-services/town-planning/ekdosh-ekthesis-autopsias-nomimopoihsi.html","Πολεοδομία",""
"έλεγχος_επικινδυνότητας_κατασκευών","ΝΕΟ","Έλεγχος επικινδυνότητας κατασκευών","https://eservices.heraklion.gr/e-services/town-planning/elegxos-epikindinotitas-kataskeuwn.html","Πολεοδομία",""
"αντίγραφα_φακέλου_καταγεγραμμένου_αυθαιρέτου","ΝΕΟ","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","https://eservices.heraklion.gr/e-services/town-planning/antigrafo-fakelou-katagegramenou-aftheretou.html","Πολεοδομία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"δήλωσης_ιδιοκτησίας_πολεοδομική_μελέτη","ΝΕΟ","Υποβολή δήλωσης ιδιοκτησίας σε πολεοδομική μελέτη","https://eservices.heraklion.gr/e-services/town-planning/upoboli-dilosis-idioktisias-poleodomiki-meleti-.html","Πολεοδομία",""
"εκθέσεων_αυτοψίας_ένσταση_αποδοχή_διαγραφή","ΝΕΟ","Θέματα Εκθέσεων Αυτοψίας (Ένσταση, Αποδοχή, Διαγραφή, Αναστολή Προστίμου Δήλωση κατεδάφισης)","https://eservices.heraklion.gr/e-services/town-planning/themata-ekthesewn-autopsias.html","Πολεοδομία","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"καταγγελία_αυθαίρετης_κατασκευής","ΝΕΟ","Καταγγελία αυθαίρετης κατασκευής","https://eservices.heraklion.gr/e-services/town-planning/kataggelia-autheretis-kataskeuis.html","Πολεοδομία",""
"πεκ_πιστοποιητικό_ελέγχου_κατασκευής","ΝΕΟ","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","https://eservices.heraklion.gr/e-services/town-planning/ekdosh-PEK.html","Πολεοδομία",""
"τροποποίησης_λόγω_αυτοδίκαιης_άρσης_ρυμοτομικής","ΝΕΟ","Αίτημα τροποποίησης λόγω αυτοδίκαιης άρσης ρυμοτομικής απαλλοτρίωσης/δέσμευσης","https://eservices.heraklion.gr/e-services/town-planning/aitima-tropopoihsis-logo-aytodikaihs-arsis-rumotomikis-apallotriosis.html","Πολεοδομία",""
"άδεια_πολιτικού_γάμου_έλληνες_πολίτες","ΝΕΟ","Άδεια Πολιτικού Γάμου για Έλληνες Πολίτες","https://eservices.heraklion.gr/e-services/civil-marriages/gamoi.html","Πολιτικοί γάμοι",""
"άδεια_πολιτικού_γάμου_αλλοδαπούς","ΝΕΟ","Άδεια Πολιτικού Γάμου για Αλλοδαπούς","https://eservices.heraklion.gr/e-services/civil-marriages/marriage-foreigners.html","Πολιτικοί γάμοι",""
"τέλεσης_πολιτικού_γάμου_μετά_έκδοση","ΝΕΟ","Αίτηση Τέλεσης Πολιτικού Γάμου μετά την έκδοση των αδειών","https://eservices.heraklion.gr/e-services/civil-marriages/marriage.html","Πολιτικοί γάμοι",""
"άδειας_ίδρυσης_λειτουργίας_ιδιωτικών_μουσικών","ΝΕΟ","Δικαιολογητικά Χορήγησης Άδειας ίδρυσης και λειτουργίας Ιδιωτικών Μουσικών Ιδρυμάτων και Χορωδιών κ.α","https://eservices.heraklion.gr/e-services/adeia-gia-moysika-idrymata/adeiodothsh-moysikwn-idrymatwn.html","Πολιτισμού",""
"απεντόμωση_κοινόχρηστους_χώρους","ΝΕΟ","Απεντόμωση σε κοινόχρηστους χώρους","https://eservices.heraklion.gr/e-services/technical-services/apentomosi-koinoxristo-xoro.html","Πράσινο",""
"απολύμανση_κτιρίων","ΝΕΟ","Απολύμανση κτιρίων","https://eservices.heraklion.gr/e-services/technical-services/apolimansi-ktirion.html","Πράσινο",""
"βλάβες_αρδευτικών_δικτύων","ΝΕΟ","Βλάβες αρδευτικών δικτύων","https://eservices.heraklion.gr/e-services/technical-services/blabes-ardeutikou-diktiou.html","Πράσινο","ΜΠΛΕ στο PDF αλλά χωρίς σημειωμένο intent — επιβεβαίωσε"
"καλλωπισμός_γενική_συντήρηση_κοινόχρηστους_χώρους","ΝΕΟ","Καλλωπισμός - Γενική συντήρηση σε κοινόχρηστους χώρους","https://eservices.heraklion.gr/e-services/technical-services/kalopismos-gen-syntirisi-koinoxristo-xoro.html","Πράσινο",""
"καταγγελία_δολιοφθορών","ΝΕΟ","Καταγγελία δολιοφθορών","https://eservices.heraklion.gr/e-services/technical-services/kataggelia-doliofthoras.html","Πράσινο",""
"καταπολέμησης_πιτυοκάμπης","ΝΕΟ","Αίτημα καταπολέμησης πιτυοκάμπης","https://eservices.heraklion.gr/e-services/technical-services/aitima-katapolemisis-pitiokampis.html","Πράσινο",""
