"intent","δείγματα","συμφωνία","llm_confidence","url","τίτλος_llm","τίτλος_similarity","ηλεκτρονικά","αιτιολογία"
"κατάληψη_κοινόχρηστου","69","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/build-permits.html","Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες","Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες","ΟΧΙ","κατάληψη για οικ. εργασίες"
"κατάληψη_κοινόχρηστου_χώρου","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/build-permits.html","Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες","Φύτευση σε κοινόχρηστους χώρους","ΟΧΙ","κατάληψη οχημάτων"
"ληξιαρχείο","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/register/praksi-symfwnou-simbiwsis.html","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Συμφώνου Συμβίωσης","Μεταβολές Ληξιαρχικών Πράξεων(άρθρο 14 ν. 344/1976)","ναι","Χορήγηση αντιγράφου"
"οικοδομησιμότητα","67","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/build-permits.html","Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες","Εκτέλεση έργων Οδοποιίας","ΟΧΙ","Οικοδομικές υπηρεσίες"
"παγκάκια","68","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/technical-services/aitimata-sintirisis-topothetisi-astikou-eksoplismou-proaulion-xoron-sxolia.html","Αιτήματα για Συντήρηση και τοποθέτηση αστικού εξοπλισμού προαυλίων Χώρων σε Σχολεία (παγκάκια ,μπασκέτες ,παιχνίδια )","Βεβαίωση Υψομέτρου","ναι","παγκάκια σχολεία"
"παλαιότητα_1955","70","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/municipal-roll/diorthosi-ilikias.html","Διόρθωση ηλικίας","Δήλωση Βάπτισης (άρθρο 26 & 27 ν.344/1976)","ναι","διόρθωση ηλικίας 1955"
"παλαιότητα_κτίσματος","70","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/building-value.html","Βεβαίωση για χαρακτηρισμό κτιρίου (Προτεινόμενου ως διατηρητέου ή μη)","Αίτηση για κατασκευή σκιαδιών ή πέργολας ή άλλου τέτοιου είδους κατασκευών σε κοινόχρηστο χώρο της Παλαιάς Πόλης","ΟΧΙ","Βεβαίωση διατήρησης κτιρίου"
"παλαιότητα_οδού","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/technical-services/onomasia-anonimon-odon.html","Ονομασία ανώνυμων οδών","Βεβαίωση Υψομέτρου","ναι","Ονομασία ανώνυμων οδών"
"παλαιότητα_οικοπέδου","67","ΟΧΙ","medium","https://eservices.heraklion.gr/e-services/cleanness/katharismos-dhmotikon-oikopedon-apopsilosi.html","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση","Βεβαίωση Υψομέτρου","ναι","Οικοπέδου καθαρισμός"
"παράταση_μουσικής","68","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/culture/culture1.html","Παραχώρηση χώρων του Δήμου για εκδηλώσεις","Δικαιολογητικά Χορήγησης Άδειας ίδρυσης και λειτουργίας Ιδιωτικών Μουσικών Ιδρυμάτων και Χορωδιών κ.α.","ΟΧΙ","Παραχώρηση χώρων για εκδηλώσεις"
"προέγκριση_άδειας_παιδότοπου","70","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/xorigisi-enieas-adias-idrisis-mfpad.html","Χορήγηση ενιαίας άδειας ίδρυσης-αναθεώρησης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης","Χορήγηση αναθεώρησης - ενιαίας άδειας ίδρυσης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης","ναι","προσχολική αγωγής άδεια"
"ρύθμιση_οφειλών","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/economic-services/diakanonismos-ofilis.html","Διακανονισμός οφειλής (Για φυσικό πρόσωπο)","Διακανονισμός οφειλής (Για νομικό πρόσωπο)","ναι","Διακανονισμός οφειλής φυσικό πρόσωπο"
"σήμανση_ονοματοθεσίας","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/technical-services/onomasia-anonimon-odon.html","Ονομασία ανώνυμων οδών","Αίτηση μη παράδοσης πινακίδων","ναι","Ονομασία ανώνυμων οδών"
"στέγαστρο_οασα","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/culture/culture1.html","Παραχώρηση χώρων του Δήμου για εκδηλώσεις","Βεβαίωση Υψομέτρου","ΟΧΙ","στεγασμένοι χώροι"
"τέλη_καθαριότητας_κοιμητηρίων","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/register/liksiarxiki-praksi-thanatou.html","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Θανάτου","Γενικό αίτημα καθαριότητας","ναι","Συνδεδεμένη με ταφή"
"τέλος_0_5","68","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/economic-services/diagrafi-ofilis.html","Διαγραφή οφειλής","Βεβαίωση περί μη οφειλής εισφοράς σε χρήμα","ναι","διαγραφή οφειλής"
"ταπ_ηλεκτροδότηση","68","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/town-planning/e-tap.html","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","ναι","ΤΑΠ φωτισμού"
"ταπ_μη_ηλεκτροδοτούμενα","69","ΟΧΙ","high","https://eservices.heraklion.gr/e-services/town-planning/e-tap.html","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","ναι","ΤΑΠ μη ηλεκτρονικό"
"άδεια_κολυμβητικής_δεξαμενής","68","—","high","","(καμία)","Βεβαίωση Υψομέτρου","","Δεν υπάρχει συμβατή υπηρεσία"
"άδεια_παραγωγού_αγρότη","68","—","high","","(καμία)","Προβλήματα φυτοϋγείας","","Δεν υπάρχει αντιστοιχία"
"αίτηση_εκταφής","69","—","high","","(καμία)","Αίτηση για Ιατρονοσηλευτική","","Εκταφή δεν αναφέρεται"
"αίτηση_κίτρινης_διαγράμμισης","68","—","high","","(καμία)","Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α","","Καμία υπηρεσία ταιριάζει"
"αίτηση_ταφής_σε_οικογενειακό_τάφο","67","—","high","","(καμία)","Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον","","Δεν υπάρχει ακριβής συμφωνία"
"αγορά_οικογενειακού_τάφου","71","—","high","","(καμία)","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","","Καμία υπηρεσία ταιριάζει"
"αναγγελία_κομμωτή","69","—","high","","(καμία)","Καταγγελία (Ζώα συντροφιάς - αδέσποτα)","","Μη συμβατή με υπηρεσίες"
"απαλλαγή_δημοτικών_τελών_covid","69","—","high","","(καμία)","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","","Καμία υπηρεσία ταιριάζει"
"βεβαίωση_δραστηριοποίησης_υπαίθριου","69","—","high","","(καμία)","Διαδικασία έκδοσης Βεβαίωσης Δραστηριοποίησης Ετήσιας Διάρκειας στις βραχυχρόνιες αγορές","","Δεν υπάρχει ακριβής ταιριά"
"βεβαίωση_εγκατάστασης_καταστήματος","67","—","high","","(καμία)","Αδειοδότηση Αθλητικών Εγκαταστάσεων","","Καμία υπηρεσία ταιριάζει"
"δελτία_τύπου","70","—","high","","(καμία)","Κατασχέσεις","","Δεν υπάρχει συγκρισιμή υπηρεσία"
"διακοπή_υδροδότησης","71","—","high","","(καμία)","Κατασχέσεις","","Δεν υπάρχει συγκριματός"
"εγγραφή_σημείου_υδροληψίας","67","—","high","","(καμία)","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","","Δεν υπάρχει ακριβής συμφωνία"
"ενοικίαση_τάφου","68","—","high","","(καμία)","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου","","Δεν υπάρχει συγκρίσιμη υπηρεσία"
"επικαιροποίηση_στοιχείων_υδροληψίας","70","—","high","","(καμία)","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","","Δεν υπάρχει ακριβής συμφωνία"
"θεώρηση_γραμμών","69","—","high","","(καμία)","Διαγραφή οφειλής","","Μη συμβατή με υπηρεσίες"
"μεταφορά_οστών","70","—","high","","(καμία)","Μετακίνηση, μεταφορά και τοποθέτηση κάδων απορριμάτων και ανακύκλωσης","","Μη συμβαδίζουν υπηρεσίες"
"νέα_ανακοινώσεις","69","—","high","","(καμία)","Εκτέλεση έργων Οδοποιίας","","Καμία υπηρεσία συμβατή"
"νέα_παροχή_ύδρευσης","68","—","high","","(καμία)","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","","υδρευση μη σχετική"
"παλαιότητα_1990","70","—","high","","(καμία)","Δήλωση Βάπτισης (άρθρο 26 & 27 ν.344/1976)","","Αναζήτηση πληροφοριών για το έτος 1990"
"συμμετοχή_εμποροπανήγυρη","68","—","high","","(καμία)","Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο","","Καμία υπηρεσία ταιριάζει"
"άδεια_μικρής_κλίμακας","72","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-topothetisis-ikriomaton.html","Χορήγηση άδειας τοποθέτησης ικριωμάτων","Χορήγηση άδειας τοποθέτησης ικριωμάτων","ναι","άδεια μικρής κλίμακας"
"άδεια_παιδότοπου","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/idiwtikoi-paidikoi-stathmoi.html","Μονάδες Φροντίδας Προσχολικής Αγωγής & Διαπαιδαγώγησης","Μονάδες Φροντίδας Προσχολικής Αγωγής & Διαπαιδαγώγησης","ΟΧΙ","παιδότοποι άδεια"
"έλεγχος_λογαριασμού_ύδρευσης","71","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/deyah/deyah-exoflisi.html","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","ναι","Ηλεκτρονική Εξόφληση"
"αίτηση_παραχώρησης_αποκλειστικής_θέσης_στάθμευσης_αμεα","70","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-thesis-stathmeusis-AMEA.html","Χορήγηση θέσης στάθμευσης για ΑMΕΑ","Χορήγηση θέσης στάθμευσης για ΑMΕΑ","ναι","χορήγηση θέσης για AMEA"
"αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/adia-koinox-xorou-ikriomata.html","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες","ναι","χρήση οδοστρώματος"
"αίτηση_χορήγησης_αντιγράφου_ήδη_χορηγηθείσας_βεβαίωσης","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/antigrafo-fakelou-katagegramenou-aftheretou.html","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","ναι","Αντίγραφα καταγραμμένου αυθαιρέτου"
"αγωγοί_αποχέτευσης","71","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/deyah/deyah-blabi.html","Δήλωση Βλάβης ΔΕΥΑΗ","Δήλωση Βλάβης ΔΕΥΑΗ","ναι","Δήλωση Βλάβης ΔΕΥΑΗ"
"αδέσποτα_ζώα","75","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/kataggelia-zwa-syntrofias.html","Καταγγελία (Ζώα συντροφιάς - αδέσποτα)","Καταγγελία (Ζώα συντροφιάς - αδέσποτα)","ναι","αδέσποτα ζώα καταγγελία"
"αλλαγή_ιδιοκτησίας_ακινήτου","68","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/bebeosis-upobolos-dilosis-idioktisias.html","Βεβαίωση υποβολής δήλωσης ιδιοκτησίας","Βεβαίωση υποβολής δήλωσης ιδιοκτησίας","ναι","υποβολή δήλωσης ιδιοκτησίας"
"αναγγελία_τεχνίτη_άκρων","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/topothetisipinakidon-simansis-kaurepton.html","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","ναι","Τοποθέτηση Πινακίδων"
"βεβαίωση_ορίων_ιδιοκτησίας","71","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/bebeosis-upobolos-dilosis-idioktisias.html","Βεβαίωση υποβολής δήλωσης ιδιοκτησίας","Βεβαίωση υποβολής δήλωσης ιδιοκτησίας","ναι","Βεβαίωση ιδιοκτησίας"
"βεβαίωση_χρήσης_γης","70","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/certification-use-ground.html","Χορήγηση Βεβαίωσης Χρήσης Γης","Χορήγηση Βεβαίωσης Χρήσης Γης","ναι","Χρήση γης ακριβώς το ζητούμενο"
"βεβαίωση_όρων_δόμησης","70","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/ekdosh-PEK.html","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","ναι","ΠΕΚ Ελέγχου Δόμησης"
"δημοτική_ενημερότητα","68","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/economic-services/ekdosi-dhm-enhmerotitas.html","Έκδοση δημοτικής ενημερότητας","Έκδοση δημοτικής ενημερότητας","ναι","Έκδοση δημοτικής ενημέρωσης"
"διακοπή_ηλεκτροδότησης","68","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/ilektr.html","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","ΟΧΙ","Ηλεκτροδότηση και διακοπή"
"διεύθυνση_οικοπέδου","72","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/bebeosi-akribous-dieuthinsis-akinitou.html","Βεβαίωση ακριβούς διεύθυνσης ακινήτων","Βεβαίωση ακριβούς διεύθυνσης ακινήτων","ναι","Βεβαίωση διεύθυνσης ακινήτου"
"εκτός_σχεδίου","70","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/tropopoihsi-sxediou-polis.html","Τροποποίηση σχεδίου πόλης","Τροποποίηση σχεδίου πόλης","ναι","Τροποποίηση σχεδίου πόλης"
"επικοινωνία","70","ΝΑΙ","medium","https://eservices.heraklion.gr/e-services/iatreio/maia.html","Επίσκεψη στη ΜΑΙΑ","Επίσκεψη στη ΜΑΙΑ","ναι","Επικοινωνία με Ιατρείο"
"επισκευή_οδοστρώματος","73","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/aitisi-gia-blabi-sto-odostroma.html","Αίτηση για βλάβη στο οδόστρωμα","Αίτηση για βλάβη στο οδόστρωμα","ναι","Αίτηση για βλάβη στο οδόστρωμα"
"κάδοι_καθαριότητας","78","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/cleanness/episkeuh-kai-antikatastash-kadwn.html","Επισκευή και αντικατάσταση κάδων απορριμάτων","Επισκευή και αντικατάσταση κάδων απορριμάτων","ναι","Επισκευή και αντικατάσταση"
"καθαρισμός_οικοπέδου_πυροπροστασία","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/cleanness/katharismos-dhmotikon-oikopedon-apopsilosi.html","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση","ναι","Οικοπέδου αποψίλωση"
"καθρέφτης_ορατότητας","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/topothetisipinakidon-simansis-kaurepton.html","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","ναι","Καθρέφτης σήμανσης"
"ληξιαρχική_πράξη_γάμου","70","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/register/liksiarxiki-praksi-gamou.html","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γάμου","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γάμου","ναι","Χορήγηση αντιγράφου"
"ληξιαρχική_πράξη_θανάτου","71","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/register/liksiarxiki-praksi-thanatou.html","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Θανάτου","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Θανάτου","ναι","Χορήγηση αντιγράφου θανάτου"
"μείωση_τελών_λόγω_αναπηρίας","68","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/epidomatikh-politikh/xorigisi-pistop-oik-adinamias.html","Χορήγηση πιστοποιητικού οικονομικής αδυναμίας","Χορήγηση πιστοποιητικού οικονομικής αδυναμίας","ναι","πιστοποιητικό αδυναμίας"
"μείωση_τιμολογίου","70","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/economic-services/diagrafi-ofilis.html","Διαγραφή οφειλής","Διαγραφή οφειλής","ναι","διαγραφή οφειλής"
"μη_οφειλή_ταπ_ακίνητα","68","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/e-tap.html","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","ναι","Μη οφειλή ταπ ακίνητα"
"μη_οφειλή_ταπ_οικόπεδα","68","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/town-planning/e-tap.html","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","ναι","Μη οφειλή ταπ"
"μητρώο_αρρένων","72","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoiitikou-genisis.html","Χορήγηση Πιστοποιητικού Γέννησης","Χορήγηση Πιστοποιητικού Γέννησης","ναι","Χορήγηση Πιστοποιητικού Γέννησης"
"ογκοδέματα","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/cleanness/apomakrinsi-ogkodwn-antikimenwn.html","Απομάκρυνση ογκωδών αντικειμένων με ραντεβού","Απομάκρυνση ογκωδών αντικειμένων με ραντεβού","ναι","Απομάκρυνση ογκωδών"
"παιδικές_χαρές","72","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/aitimata-syntirisi-ipethrion-xoron.html","Συντήρηση Υπαίθριων Χώρων (παιδικές χαρές,πάρκα)","Συντήρηση Υπαίθριων Χώρων (παιδικές χαρές,πάρκα)","ναι","συνδεδεμένη με παιδικές χαρές"
"πεζοδρόμιο","68","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-adias-kataskeuis-pezodromiou.html","Χορήγηση άδειας κατασκευής πεζοδρομίου","Χορήγηση άδειας κατασκευής πεζοδρομίου","ναι","χορήγηση άδειας κατασκευής"
"πιστοποιητικό_γέννησης","78","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoiitikou-genisis.html","Χορήγηση Πιστοποιητικού Γέννησης","Χορήγηση Πιστοποιητικού Γέννησης","ναι","Χορήγηση Πιστοποιητικού Γέννησης"
"πιστοποιητικό_οικογενειακής_κατάστασης","77","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoiitikou-oikog-katastasis.html","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","ναι","Χρησιμότητα οικογενειακής κατάστασης"
"πλησιέστεροι_συγγενείς","70","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/municipal-roll/xorigisi-pistopoitikou-plisiesterwn-suggenon.html","Χορήγηση Πιστοποιητικού πλησιέστερων συγγενών","Χορήγηση Πιστοποιητικού πλησιέστερων συγγενών","ναι","πλησιέστεροι συγγενείς εγγράφος"
"πράσινο_δένδρα","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/kladema-dentron-koinoxristous-xorous.html","Κλάδεμα δένδρων σε κοινόχρηστους χώρους","Κλάδεμα δένδρων σε κοινόχρηστους χώρους","ναι","Κλάδεμα δένδρων"
"σήμανση_οδοστρώματος","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/technical-services/xorigisi-bebeosis-simansis-odon.html","Χορήγηση βεβαίωσης σήμανσης οδών","Χορήγηση βεβαίωσης σήμανσης οδών","ναι","σήμανση οδών βεβαίωση"
"σύνδεση_φυσικού_αερίου","71","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/ilektr.html","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","ΟΧΙ","συνδεση φυσικου αεριου"
"ταπ_διόρθωση_τετραγωνικών","69","ΝΑΙ","high","https://eservices.heraklion.gr/e-services/tetragwnika-koinoxrhstou.html","Τροποποίηση τετραγωνικών κοινόχρηστου χώρου","Τροποποίηση τετραγωνικών κοινόχρηστου χώρου","ΟΧΙ","Τροποποίηση τετραγωνικών"
"τεχνική_υπηρεσία","70","ΝΑΙ","medium","https://eservices.heraklion.gr/e-services/technical-services/street-build.html","Εκτέλεση έργων Οδοποιίας","Εκτέλεση έργων Οδοποιίας","ναι","Τεχνική υπηρεσία συμπεριλάμβανες"
