"ενότητα","υπηρεσία","έχει_intent","intents","χαλαρή"
"Κοινόχρηστοι χώροι","Αιτήματα για Συντήρηση και τοποθέτηση αστικού εξοπλισμού προαυλίων Χώρων σε Σχολεία (παγκάκια ,μπασκέτες ,παιχνίδια )","ναι","παγκάκια",""
"Κοινόχρηστοι χώροι","Αιτήματα για παραχώρηση εξοπλισμού για εκδηλώσεις (τραπέζια ,καρέκλες )","ΟΧΙ","κατάληψη_κοινόχρηστου_χώρου","ναι"
"Κοινόχρηστοι χώροι","Συντήρηση Υπαίθριων Χώρων (παιδικές χαρές,πάρκα)","ΟΧΙ","παιδικές_χαρές",""
"Κοινόχρηστοι χώροι","Χορήγηση άδειας βύθισης ή υποβιβασμού πεζοδρομίου","ΟΧΙ","",""
"Κοινόχρηστοι χώροι","Χορήγηση άδειας επισκευής/παρέμβασης εντός κοινόχρηστου χώρου (πεζοδρόμιο κλπ)","ναι","επισκευή_οδοστρώματος, πεζοδρόμιο",""
"Κοινόχρηστοι χώροι","Χορήγηση άδειας κατασκευής πεζοδρομίου","ΟΧΙ","",""
"Κοινόχρηστοι χώροι","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση ικριωμάτων σε πεζοδρόμια, πεζόδρομους και πλατείες","ναι","αίτηση_προσωρινής_χρήσης_οδοστρώματος_πεζοδρομίου",""
"Κοινόχρηστοι χώροι","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση κάδου οικοδομικών υπολειμμάτων σε οδόστρωμα","ναι","",""
"Κοινόχρηστοι χώροι","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε οδόστρωμα","ναι","",""
"Δημοτολόγιο","Άνοιγμα μερίδας δημότη – λόγω διαζυγίου (με διαζύγιο που έχει καταχωρηθεί στην ληξιαρχική πράξη γάμου μέχρι το έτος 2017)","ΟΧΙ","",""
"Δημοτολόγιο","Αλλαγή διεύθυνσης","ΟΧΙ","αλλαγή_ιδιοκτησίας_ακινήτου","ναι"
"Δημοτολόγιο","Αλλαγή στοιχείων τέκνου λόγω υιοθεσίας, αναγνώρισης, πρόσληψης επωνύμου, πατρωνύμου και εγγραφή στα δημοτολόγια (με κωδικούς taxisnet)","ναι","δημοτολόγιο",""
"Δημοτολόγιο","Βεβαίωση Μόνιμης Κατοικίας Δημότη Ηρακλείου","ναι","βεβαίωση_κατοικίας",""
"Δημοτολόγιο","Διόρθωση ηλικίας","ΟΧΙ","",""
"Δημοτολόγιο","Διόρθωση κυρίου ονόματος","ΟΧΙ","",""
"Δημοτολόγιο","Διόρθωση τόπου γέννησης","ΟΧΙ","",""
"Δημοτολόγιο","Εγγραφή Αλλοδαπών που αποκτούν την Ελληνική Ιθαγένεια με πολιτογράφηση και τέκνων λόγω γέννησης - φοίτησης, φοίτησης","ναι","",""
"Δημοτολόγιο","Μεταδημότευση αγάμου","ναι","",""
"Δημοτολόγιο","Μεταδημότευση λόγω αρχικής δημοτικότητας","ναι","",""
"Δημοτολόγιο","Μεταδημότευση λόγω διετούς κατοικίας","ΟΧΙ","",""
"Δημοτολόγιο","Μεταδημότευση λόγω υποψηφιότητας σε εκλογές","ναι","",""
"Δημοτολόγιο","Μεταδημότευση της/του συζύγου (λόγω γάμου ή συμφώνου συμβίωσης όταν ένας από τους δύο είναι ήδη δημότης)","ΟΧΙ","",""
"Δημοτολόγιο","Πιστοποιητικό Ταυτοπροσωπίας Ανηλίκων","ΟΧΙ","",""
"Δημοτολόγιο","Πιστοποιητικό Ταυτοπροσωπίας για Ενήλικα","ΟΧΙ","",""
"Δημοτολόγιο","Χορήγηση Πιστοποιητικoύ πλησιέστερων συγγενών","ναι","πλησιέστεροι_συγγενείς",""
"Δημοτολόγιο","Χορήγηση Πιστοποιητικού Γέννησης","ναι","πιστοποιητικό_γέννησης",""
"Δημοτολόγιο","Χορήγηση Πιστοποιητικού Εντοπιότητας (αφορά μόνο εκπαιδευτικούς)","ναι","προέγκριση_άδειας_παιδότοπου, άδεια_παιδότοπου","ναι"
"Δημοτολόγιο","Χορήγηση Πιστοποιητικού Οικογενειακής Κατάστασης","ναι","πιστοποιητικό_οικογενειακής_κατάστασης",""
"Δημοτικό ιατρείο","Επίσκεψη στη ΜΑΙΑ","ΟΧΙ","",""
"Εφαρμογής επιδοματικής πολιτικής και ελέγχου","Αίτηση - ΥΔ για παροχή δωρεάν φαρμακευτικής περίθαλψης σε ανασφάλιστου","ΟΧΙ","",""
"Εφαρμογής επιδοματικής πολιτικής και ελέγχου","Αίτηση χορήγησης οικονομικής ενίσχυσης στους πληγέντες του Δήμου Ηρακλείου για τη φυσική καταστροφή της .../.../20","ΟΧΙ","",""
"Εφαρμογής επιδοματικής πολιτικής και ελέγχου","Γενική Αίτηση για θέματα Επιδομάτων","ΟΧΙ","",""
"Εφαρμογής επιδοματικής πολιτικής και ελέγχου","Κατάθεση Δικαιολογητικών Μ.Φ.Π.Α.&Δ. Για την έγκριση πρόσληψης προσωπικού","ναι","",""
"Εφαρμογής επιδοματικής πολιτικής και ελέγχου","Χορήγηση αναθεώρησης - ενιαίας άδειας ίδρυσης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης","ναι","",""
"Εφαρμογής επιδοματικής πολιτικής και ελέγχου","Χορήγηση ενιαίας άδειας ίδρυσης-αναθεώρησης και λειτουργίας μονάδας φροντίδας προσχολικής αγωγής και διαπαιδαγώγησης","ναι","",""
"Εφαρμογής επιδοματικής πολιτικής και ελέγχου","Χορήγηση πιστοποιητικού οικονομικής αδυναμίας","ΟΧΙ","",""
"Τμήμα πολιτισμού","Παραχώρηση χώρων του Δήμου για εκδηλώσεις","ΟΧΙ","",""
"Πολεοδομία","Έγκριση από ΣΥ.ΠΟ.Θ.Α. ( για διαφορά ειδικού προστίμου >20% δήλωσης υπαγωγής)","ΟΧΙ","",""
"Πολεοδομία","Έκδοση Έκθεσης Αυτοψίας για Νομιμοποίηση","ΟΧΙ","",""
"Πολεοδομία","Έκδοση ΠΕΚ (Πιστοποιητικό Ελέγχου Κατασκευής)","ΟΧΙ","",""
"Πολεοδομία","Έλεγχος επικινδυνότητας κατασκευών","ΟΧΙ","",""
"Πολεοδομία","Ένσταση (μελέτης κτηματογράφησης ή μελέτης πολεοδόμησης ή τροποποίησης ρυμοτομικού σχεδίου)","ναι","εκτός_σχεδίου, θεώρηση_γραμμών",""
"Πολεοδομία","Αίτημα τροποποίησης λόγω αυτοδίκαιης άρσης ρυμοτομικής απαλλοτρίωσης/δέσμευσης","ΟΧΙ","",""
"Πολεοδομία","Αντίγραφα στοιχείων αδειών δόμησης (μετά το έτος 2018)","ναι","βεβαίωση_όρων_δόμησης, οικοδομησιμότητα",""
"Πολεοδομία","Αντίγραφα στοιχείων οικοδομικών αδειών (έως το έτος 2018)","ναι","αντίγραφα_άδειας_πολεοδομίας",""
"Πολεοδομία","Αντίγραφα φακέλου καταγεγραμμένου αυθαιρέτου","ναι","",""
"Πολεοδομία","Βεβαίωση Υψομέτρου","ναι","υψόμετρο",""
"Πολεοδομία","Βεβαίωση υποβολής δήλωσης ιδιοκτησίας","ναι","βεβαίωση_ορίων_ιδιοκτησίας",""
"Πολεοδομία","Θέματα Εκθέσεων Αυτοψίας (Ένσταση, Αποδοχή, Διαγραφή, Αναστολή Προστίμου Δήλωση κατεδάφισης)","ναι","",""
"Πολεοδομία","Καταγγελία αυθαίρετης κατασκευής","ΟΧΙ","",""
"Πολεοδομία","Τροποποίηση σχεδίου πόλης","ναι","εκτός_σχεδίου",""
"Πολεοδομία","Υποβολή δήλωσης ιδιοκτησίας σε πολεοδομική μελέτη","ΟΧΙ","",""
"Πολεοδομία","Χορήγηση Βεβαίωσης Χρήσης Γης","ναι","βεβαίωση_χρήσης_γης",""
"ΔΕΥΑΗ-Ύδρευση & αποχέτευση","Δήλωση Βλάβης ΔΕΥΑΗ","ναι","βλάβη_αγωγού_ύδρευσης",""
"ΔΕΥΑΗ-Ύδρευση & αποχέτευση","Ηλεκτρονική Εξόφληση Λογαριασμού ΔΕΥΑΗ","ναι","μείωση_τιμολογίου, έλεγχος_λογαριασμού_ύδρευσης","ναι"
"Αγροτικής ανάπτυξης","Έκδοση άδειας διοργάνωσης έκθεσης ζώων συντροφιάς","ναι","",""
"Δημοτική αστυνομία","Αίτηση επιστροφής πινακίδων","ΟΧΙ","",""
"Δημοτική αστυνομία","Αίτηση μη παράδοσης πινακίδων","ΟΧΙ","",""
"Δημοτική αστυνομία","Απομάκρυνση Εγκαταλελειμμένων Οχημάτων","ΟΧΙ","",""
"Δημοτική αστυνομία","Γενική αίτηση για θέματα Κ.Ο.Κ","ναι","καθρέφτης_ορατότητας",""
"Δημοτική αστυνομία","Κατάθεση Ένστασης - Αντίρρησης για παράνομη στάθμευση","ΟΧΙ","",""
"Δημοτική αστυνομία","Καταγγελία (Λαϊκές αγορές-Πλανόδιο-Υπαίθριο εμπόριο","ΟΧΙ","",""
"Δημοτική αστυνομία","Καταγγελία για άλλα θέματα","ναι","κατάληψη_κοινόχρηστου",""
"Δημοτική αστυνομία","Καταγγελίες (Εγκαταλελειμμένα κτίρια)","ΟΧΙ","",""
"Δημοτική αστυνομία","Καταγγελίες (Εμπόδια στο οδόστρωμα)","ναι","",""
"Δημοτική αστυνομία","Καταγγελίες (Παραβάσεις Κ.Ο.Κ.)","ναι","",""
"Καθαριότητα","Αίτημα για καθαριότητα κοινόχρηστου χώρου","ΟΧΙ","",""
"Καθαριότητα","Αίτημα για οδοκαθαρισμό","ΟΧΙ","",""
"Καθαριότητα","Απομάκρυνση ογκωδών αντικειμένων","ναι","ογκοδέματα",""
"Καθαριότητα","Γενικό αίτημα καθαριότητας","ΟΧΙ","",""
"Καθαριότητα","Επισκευή και αντικατάσταση κάδων απορριμάτων","ναι","κάδοι_καθαριότητας",""
"Καθαριότητα","Καθαρισμός δημοτικών οικοπέδων - Αποψίλωση","ναι","",""
"Καθαριότητα","Κατάθεση ένστασης για πρόστιμο καθαριότητας","ΟΧΙ","",""
"Καθαριότητα","Μετακίνηση, μεταφορά και τοποθέτηση κάδων απορριμάτων και ανακύκλωσης","ΟΧΙ","",""
"Τεχνική υπηρεσία","[ΕΝΟΤΗΤΑ] Τεχνική υπηρεσία","ναι","τεχνική_υπηρεσία, αίτηση_γενικού_τεχνικού_περιεχομένου",""
"Τεχνική υπηρεσία","Αίτηση για ασφαλτόστρωση - τσιμεντόστρωση - διάστρωση 3α","ναι","άδεια_οικοδομής, ασφαλτόστρωση_οδού",""
"Τεχνική υπηρεσία","Αίτηση για βλάβη στο οδόστρωμα","ναι","επισκευή_οδοστρώματος",""
"Τεχνική υπηρεσία","Αίτηση για διάθεση σήματος στάθμευσης μονίμου κατοίκου","ΟΧΙ","",""
"Τεχνική υπηρεσία","Αιτήματα για κυκλοφοριακές ρυθμίσεις","ναι","αίτηση_κίτρινης_διαγράμμισης",""
"Τεχνική υπηρεσία","Βεβαίωση ακριβούς διεύθυνσης ακινήτων","ναι","διεύθυνση_οικοπέδου",""
"Τεχνική υπηρεσία","Βλάβες σε Φωτεινούς Σηματοδότες","ΟΧΙ","φωτισμός",""
"Τεχνική υπηρεσία","Βλάβες του δικτύου δημοτικού φωτισμού","ναι","φωτισμός",""
"Τεχνική υπηρεσία","Δικαιολογητικά ανελκυστήρων για καταχώρηση","ΟΧΙ","",""
"Τεχνική υπηρεσία","Εκτέλεση έργων Οδοποιίας","ναι","",""
"Τεχνική υπηρεσία","Κυκλοφοριακές συνδέσεις/είσοδοι-έξοδοι","ναι","",""
"Τεχνική υπηρεσία","Ονομασία ανώνυμων οδών","ναι","σήμανση_ονοματοθεσίας",""
"Τεχνική υπηρεσία","Τοποθέτηση Πινακίδων Σήμανσης και Καθρεπτών","ναι","σήμανση_οδοστρώματος, καθρέφτης_ορατότητας",""
"Τεχνική υπηρεσία","Τοποθέτηση Φωτιστικών Σωμάτων","ναι","",""
"Τεχνική υπηρεσία","Χορήγηση άδειας διέλευσης βαρέων οχημάτων","ΟΧΙ","",""
"Τεχνική υπηρεσία","Χορήγηση άδειας διέλευσης και στάθμευσης οχήματος σε πεζόδρομους","ΟΧΙ","",""
"Τεχνική υπηρεσία","Χορήγηση άδειας διακοπής κυκλοφορίας","ΟΧΙ","",""
"Τεχνική υπηρεσία","Χορήγηση άδειας οριζόντιας σήμανσης της εισόδου-εξόδου ιδιωτικού χώρου στάθμευσης","ναι","είσοδος_έξοδος",""
"Τεχνική υπηρεσία","Χορήγηση άδειας τοποθέτησης ικριωμάτων","ναι","",""
"Τεχνική υπηρεσία","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση κάδου οικοδομικών υπολειμμάτων σε οδόστρωμα","ναι","",""
"Τεχνική υπηρεσία","Χορήγηση άδειας χρήσης κοινόχρηστου χώρου για τοποθέτηση περίφραξης σε οδόστρωμα","ναι","",""
"Τεχνική υπηρεσία","Χορήγηση βεβαίωσης σήμανσης οδών","ναι","",""
"Τεχνική υπηρεσία","Χορήγηση θέσης στάθμευσης για ΑMΕΑ","ναι","αίτηση_παραχώρησης_αποκλειστικής_θέσης_στάθμευσης_αμεα",""
"Ληξιαρχείο","Δήλωση Βάπτισης (άρθρο 26 & 27 ν.344/1976)","ΟΧΙ","",""
"Ληξιαρχείο","Δήλωση Γάμου (άρθρα 29 & 30 του ν. 344/1976)","ναι","ληξιαρχική_πράξη_γάμου",""
"Ληξιαρχείο","Δήλωση Διαζυγίου (άρθρα 1438 Α.Κ. και 1441 Α.Κ. όπως αντικαταστάθηκε με το άρθρο 4 του ν.4800/21.5.2021 και 14 του ν.344/1976)","ΟΧΙ","",""
"Ληξιαρχείο","Δήλωση Θανάτου (αρθρα 32 & 33 ν.344/1976)","ναι","ληξιαρχική_πράξη_θανάτου",""
"Ληξιαρχείο","Δήλωση Ονοματοδοσίας (άρθρο 25 ν. 344/1976)","ΟΧΙ","",""
"Ληξιαρχείο","Δήλωση γέννησης (άρθρα 20, 21 Α και 23 ν.344/1976)","ΟΧΙ","",""
"Ληξιαρχείο","Διόρθωση στοιχείων ληξιαρχικών πράξεων (αρθ.13 του Ν.344/76 όπως τροποποιήθηκε με το ν. 4674/2020)","ναι","ληξιαρχείο",""
"Ληξιαρχείο","Μεταβολές Ληξιαρχικών Πράξεων(άρθρο 14 ν. 344/1976)","ΟΧΙ","",""
"Ληξιαρχείο","Σύμφωνο Συμβίωσης (Ν.4356/2015)","ναι","",""
"Ληξιαρχείο","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γάμου","ναι","ληξιαρχική_πράξη_γάμου",""
"Ληξιαρχείο","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Γεννήσεως","ναι","",""
"Ληξιαρχείο","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Θανάτου","ναι","ληξιαρχική_πράξη_θανάτου",""
"Ληξιαρχείο","Χορήγηση αντιγράφου Ληξιαρχικής Πράξης Συμφώνου Συμβίωσης","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Εργοθεραπεία","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Εργοθεραπεία κατ'οίκον","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Ιατρονοσηλευτική","ναι","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Ιατρονοσηλευτική κατ'οίκον","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Κοινωνική Εργασία","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Κοινωνική Εργασία κατ'οίκον","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Οικογενειακή Βοήθεια κατ'οίκον","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Φυσικοθεραπεία","ΟΧΙ","",""
"ΚΑΠΗ-κέντρα κοινοτικής φροντίδας","Αίτηση για Φυσικοθεραπεία κατ'οίκον","ναι","",""
"Πολιτικοί γάμοι","Άδεια Πολιτικού Γάμου για Έλληνες Πολίτες","ΟΧΙ","",""
"Πολιτικοί γάμοι","Άδεια Πολιτικού Γάμου για Αλλοδαπούς","ΟΧΙ","",""
"Πολιτικοί γάμοι","Αίτηση Τέλεσης Πολιτικού Γάμου μετά την έκδοση των αδειών","ΟΧΙ","",""
"Οικονομική υπηρεσία","Έκδοση Δημοτικής Ενημερότητας Βεβαιωμένων Χρεών","ναι","",""
"Οικονομική υπηρεσία","Έκδοση δημοτικής ενημερότητας","ναι","",""
"Οικονομική υπηρεσία","Έκδοση ετήσιων αδειών κοινόχρηστων χώρων","ναι","",""
"Οικονομική υπηρεσία","Απαλλαγή προσαυξήσεων βεβαιωμένης οφειλής","ναι","",""
"Οικονομική υπηρεσία","Ασφαλιστική ενημερότητα του Δήμου","ναι","",""
"Οικονομική υπηρεσία","Βεβαίωση παρακράτησης φόρου (για προμηθευτές)","ναι","",""
"Οικονομική υπηρεσία","Βεβαίωση περί μη οφειλής εισφοράς σε χρήμα","ναι","ρύθμιση_οφειλών, βεβαίωση_οφειλών_διας","ναι"
"Οικονομική υπηρεσία","Βεβαίωση περί μη οφειλών (προσκύρωσης, αυθαίρετης κατασκευής εισφοράς σχεδίου πόλης)","ναι","",""
"Οικονομική υπηρεσία","Βεβαίωση πληρωμών (προσκύρωσης, εισφοράς σχεδίου πόλης, προστίμου αυθαίρετης κατασκευής)","ναι","",""
"Οικονομική υπηρεσία","Διαγραφή οφειλής","ναι","",""
"Οικονομική υπηρεσία","Διακανονισμός οφειλής (Για νομικό πρόσωπο)","ναι","",""
"Οικονομική υπηρεσία","Διακανονισμός οφειλής (Για φυσικό πρόσωπο)","ναι","",""
"Οικονομική υπηρεσία","Επιστροφή χρημάτων","ναι","",""
"Οικονομική υπηρεσία","Ηλεκτρονικές Πληρωμές Οφειλών","ναι","",""
"Οικονομική υπηρεσία","Κατασχέσεις","ναι","",""
"Οικονομική υπηρεσία","Παραβάσεις ΚΟΚ και πρόστιμα","ναι","",""
"Οικονομική υπηρεσία","ΤΑΠ - Τέλη Φωτισμού και Καθαριότητας","ναι","τέλος_0_5, ταπ_διόρθωση_τετραγωνικών, ταπ_μη_ηλεκτροδοτούμενα, ταπ_ηλεκτροδότηση, μη_οφειλή_ταπ_οικόπεδα, μη_οφειλή_ταπ_ακίνητα","ναι"
"Πολιτισμού","Αδειοδότηση Ωδείων, Μουσικών Σχολών και Χορωδιών κ.α","ναι","παράταση_μουσικής",""
"Πολιτισμού","Δικαιολογητικά Χορήγησης Άδειας ίδρυσης και λειτουργίας Ιδιωτικών Μουσικών Ιδρυμάτων και Χορωδιών κ.α","ΟΧΙ","",""
"Βραχυχρόνιες αγορές","Διαδικασία έκδοσης Βεβαίωσης Δραστηριοποίησης Ετήσιας Διάρκειας στις βραχυχρόνιες αγορές","ναι","βεβαίωση_εγκατάστασης_καταστήματος",""
"Αδειοδότηση & έλεγχος βρεφονηπιακών σταθμών","Μονάδες Φροντίδας Προσχολικής Αγωγής & Διαπαιδαγώγησης","ΟΧΙ","",""
"Αδειοδότηση αθλητικών αγκαταστάσεων","Αδειοδότηση Αθλητικών Εγκαταστάσεων","ΟΧΙ","",""
"Λαϊκές αγορές","Λαϊκές Αγορές: Ημέρες και οδοί λειτουργίας στον Δήμο Ηρακλείου","ΟΧΙ","",""
"Άδειες καταστημάτων","","ναι","αναγγελία_κομμωτή",""
"Άδειες καταστημάτων","","ναι","αναγγελία_τεχνίτη_άκρων",""
"Άδειες καταστημάτων","","ναι","άδεια_πωλητή_υπαίθριου_εμπορίου",""
"Άδειες καταστημάτων","","ναι","άδεια_παραγωγού_αγρότη",""
"Άδειες καταστημάτων","","ναι","βεβαίωση_δραστηριοποίησης_υπαίθριου",""
"Άδειες καταστημάτων","","ναι","συμμετοχή_εμποροπανήγυρη",""
"Οικονομική υπηρεσία","Έκδοση αδειών για οικοδομικές υπηρεσίες - μηνιαίες","ναι","άδεια_οικοδομής",""
"Οικονομική υπηρεσία","Έκδοση αδειών κοινόχρηστων χώρων - Ετήσιες","ΟΧΙ","",""
"Οικονομική υπηρεσία","Ηλεκτροδοτήσεις οικιών - καταστημάτων και επανασυνδέσεις ΔΕΗ","ναι","διακοπή_ηλεκτροδότησης",""
"Οικονομική υπηρεσία","Τροποποίηση τετραγωνικών κοινόχρηστου χώρου","ΟΧΙ","",""
